plate,meaning,gpt_cluster_meaning,gpt_classification,zeroshot_cluster_meaning,zeroshot_classification,unified_gpt_classification,unified_zeroshot_classification
STUFU1,STU=STUPID FU=FUCK,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
#HATIN,STOP HATING,Explicit and Vulgar Language,1,Vehicle Related,0,1,3
BZQUEEN,BUSY QUEEN BZ CAN STAND FOR BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
I FAP,I FAP(MASTURBATE),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
OSX4EVA,O(ORAL) SEX FORVER,Sexual References,5,Sexual References,4,5,5
BUNKEY G,BUNKEY GIRL OR BUNKY GANSTER,Explicit and Vulgar Language,2,Sexual References,4,1,5
BS RTIS,BUSINESS ARTIST OR bullshit artist,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BROOD,BROOD AS IN FAMILY,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
DRGN SHT,DRAGGING SHIT,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
GUN ACE,GUN ACE(MASTER),Weapons,4,Weapons,3,4,4
DEDS3C5,REFERENCE TO A VIDEO GAME HACKER GROUP DEAD SEC,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
C4 MILES,SEE FOR MILES,Vehicle Related,8,Vehicle Related,0,3,3
MALIBLU,MALIBU BLUE,Vehicle Related,3,Area Codes and Regional Pride,7,3,2
#54 HATN,HI FIVE FOR HATING,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
8B8B88B,STAR WARS REFERENCE. THE NEW CUTE BB8 DROID MAYBE 88-HITLER?,Explicit and Vulgar Language,2,Weapons,3,1,4
FUC FRD,FUCK FORD(?),Vehicle Related,8,Vehicle Related,0,3,3
213 RAMZ,[AREA CODE] LOS ANGELES RAMS,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
CHOCHES,MEXICAN SLANG FOR CAR,Gang and Drug References,0,Vehicle Related,0,0,3
DANKM3,DANK=COOL OR DRUG REFERENCE,Gang and Drug References,0,Gang and Drug References,2,0,0
UCM CATZ,"University of California, Merced BOBCATS",Explicit and Vulgar Language,2,Vehicle Related,0,1,3
4FSAKES,FOR FUCKS SAKE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
POOP KNG,POOP KING,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
THUGGER,THUGGER,Explicit and Vulgar Language,2,Weapons,3,1,4
ROOOOLL,ROLL,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
H8BOGEY,HATE BOGEY(GOLF),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
831LIFE,LIVING LIFE IN SALINAS AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
DRGN ASZ,DRAGGIN ASS,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
FYOU95 1,FUCK YOU,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
4SHOGUN,FOR SURE GUN,Weapons,4,Weapons,3,4,4
GYPSY45,GYPSY 45=gun CALIBER,Weapons,4,Weapons,3,4,4
KTTYL$R,KITTY (CAT) LOVER OR KITTY=PUSSY LOVER,Cats and Pets,7,Cats and Pets,6,7,7
TNTNSON,"TNT N SON, WEAPON REFERENCE",Weapons,4,Weapons,3,4,4
I PLA 18,IM A GOLFER AND I PLAY 18 HOLES OF GOLF 18=HATE SYMBOL?,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
F DUQUE,F=FUCK DUQUE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
MOBXFOE,MOB FOR EVER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
ETAHDCK,EAT A DICK,Sexual References,5,Sexual References,4,5,5
MSSK2BU,MUST SUCK TO BE YOU,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
831 ROVR,AREA CODE AND CAR TYPE(ROVER),Area Codes and Regional Pride,9,Vehicle Related,0,2,3
MI COCO,MY CHOCOLATE COCO CAN MEAN COCAINE,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
HUUKRUP,HOOK HER UP,Sexual References,5,Sexual References,4,5,5
BRNHLD,short for brunhilde name of the bike (VALKYRE),Vehicle Related,8,Vehicle Related,0,3,3
BBNGA,LOOKS LIKE BB NIGGA,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
EFUU,E(HEY?) FUCK YOU,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
WITHAZZ,LOOKS LIKE WITH ASS,Explicit and Vulgar Language,2,Sexual References,4,1,5
MINI AF,MINI AS FUCK,Explicit and Vulgar Language,1,Vehicle Related,0,1,3
ICUCAR,EYE SEE YOU CAR OR ICU(INTENSIVE CARE UNIT) CAR,Vehicle Related,8,Vehicle Related,0,3,3
BANG OUT,BANG OUT,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KUZURUG,IT SI OUR COMPANY NAME KUZURUG.COM KUZU MEANS LAMB IN TURKISH,Gang and Drug References,0,Weapons,3,0,4
DONTH81,DON’T HATE,Explicit and Vulgar Language,1,Personal Names and Sentimental Values,5,1,6
LUCKYO2,luck you too=fuck you too?,Explicit and Vulgar Language,2,Sexual References,4,1,5
BADASMM,BAD ASS MOM,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
MT714,"MATTHEW 7:14- BECAUSE SMALL IS THE GATE AND NARROW IS THE ROAD THAT LEADS TO LIFE, AND ONLY A FEW FIND IT.",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
PINKEEE,PINKY NICKNAME VAGINA REFERENCE,Sexual References,5,Sexual References,4,5,5
TURBOGS,TURBO [CAR NAME],Vehicle Related,8,Vehicle Related,0,3,3
CZE DOA,CAUSE/COUS(IN)? DOA=DEAD ON ARRIVAL,Weapons,4,Explicit and Vulgar Language,1,4,1
88 FORD,1988 FORD TRUCK,Vehicle Related,8,Vehicle Related,0,3,3
TOY  14,TOY = TOYOTA 14 = 2014,Vehicle Related,8,Vehicle Related,0,3,3
I WAS 14,I WAS 14 YEARS OLD 14 = HATE NUMBER?,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CAKEWRX,CAKE(BAKERY) WORK CAKE=ASS?,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
8O8 ADCT,ADDICTED TO 808S (MUSIC),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CUMN QCK,CUMMING QUICK,Sexual References,5,Vehicle Related,0,5,3
YAAR BMB,YOURE bomb(COOL),Weapons,4,Weapons,3,4,4
D MOBSTA,MOBSTER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
RDNCKRV,RED NECK RV,Vehicle Related,3,Vehicle Related,0,3,3
BABYKO,MY BABY IN TAGALOG,Gang and Drug References,0,Vehicle Related,0,0,3
SHH H8RZ,SHUSH HATERS,Explicit and Vulgar Language,1,Personal Names and Sentimental Values,5,1,6
BOBSICL,BOB-BISYCLE OR BOB-MOTORCYCLE,Vehicle Related,8,Vehicle Related,0,3,3
DTARD15,RETARD,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
3O INCHR,30 INCHER POTENTIALLY SEXUAL,Sexual References,5,Sexual References,4,5,5
KITTY UP,I AM A CAT BREEDER KITTY=PUSSY? UP,Cats and Pets,7,Cats and Pets,6,7,7
KLRMULE,KLR IS THE TYPE OF MOTORCYCLE. MULE BECAUSE IT WORKS LIKE A MULE,Vehicle Related,8,Vehicle Related,0,3,3
JOY TOY,JOY(RIDE) TOY ,Vehicle Related,8,Vehicle Related,0,3,3
MTNCAT1,MOUNTAINCAT,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
BAAAWSS,BALLS,Sexual References,5,Weapons,3,5,4
BLUGOLD,BLUE GOLD,Vehicle Related,3,Vehicle Related,0,3,3
H8JOKER,HATE JOKER(CHARACTER),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FH8CNCR,FUCKING HATE CANCER,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
JSTHETP,JUST THE TIP,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PSYC,PSYCHOLOGY,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
TOPMAN,TOP MAN,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
LXIXSTR,LXIX=69 STAR,Gang and Drug References,0,Area Codes and Regional Pride,7,0,2
FIEND,FIEND,Explicit and Vulgar Language,2,Weapons,3,1,4
FYR PMP,FIRE PUMP,Sexual References,5,Vehicle Related,0,5,3
FIREOPS,FIREFIGHTING OPERATIONS,Weapons,4,Weapons,3,4,4
FIFONIT,FIVE (DOLLARS) ON IT GAMBLING?,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CALI 4O8,CALIFORNIA [AREA CODE],Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
SNO TACO,SNOW TACOMA(CAR),Vehicle Related,8,Vehicle Related,0,3,3
BLUOVRU,BLUE ON ROOF (OF CAR),Vehicle Related,3,Vehicle Related,0,3,3
I AM OG,I AM OG-ORIGINAL GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
48BOMBR,1948 CHEVY BOMBER,Vehicle Related,8,Vehicle Related,0,3,3
H8EVRY1,HATE EVERYONE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
2121,21 SAVAGE (RAPPER),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
UTOO PID,YOU STUPID,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
14UVS19,"HERES ONE FOR YOU, NINETEEN FOR ME (SONG LYRIC)",Explicit and Vulgar Language,2,Sexual References,4,1,5
TNTSPRT,tnt=EXPLOSIVE SPORT/SPRINTER,Weapons,4,Explicit and Vulgar Language,1,4,1
DAMNRAT,DAMN RAT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
PORKER,PORKER=OBESE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BOGAN4U,BOGAN(INSULT)\ FOR YOU,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
RLAFTY,"ROLL A FATTY, DRUG REFERENCE",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
GET HYE,"GET HIGH, DRUG REFERENCE ",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
LVH8ERS,I LOVE HATERS,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
IMAGOON,I'M A GOON,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
1955XXX,1955 XXX=PORN,Sexual References,5,Sexual References,4,5,5
CYNCATS,CANYON CATS,Cats and Pets,7,Cats and Pets,6,7,7
CUCHIE,CUCHIE=VAGINA,Gang and Drug References,0,Vehicle Related,0,0,3
CARSLUT,CAR SLUT,Vehicle Related,8,Vehicle Related,0,3,3
RTD5O,RETIRED OFFICER(FIVE-0),Weapons,4,Personal Names and Sentimental Values,5,4,6
SWISHRR,SWISHER=CIGAR POSSIBLE BLUNT MARIJUANA WRAP,Explicit and Vulgar Language,2,Weapons,3,1,4
RAM YOU,RAM YOU (SEXUAL?),Sexual References,5,Sexual References,4,5,5
MJANE,MARY JANE=MARIJUANA,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BLACKAF,BLACK AS FUCK,Vehicle Related,3,Explicit and Vulgar Language,1,3,1
MN KILLA,MAN KILLER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LIT 5OH,LIT FIVE-OH(POLICE REFERENCE),Weapons,4,Explicit and Vulgar Language,1,4,1
$TREEES,MONEY TREES,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
UB2JLS,YOU BE(ARE) TOO JEALOUS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BLACKOP,BLACK OPERATIONS(MILITARY),Weapons,4,Explicit and Vulgar Language,1,4,1
TRDS/WRX,TIME AND RELATIVE DIMENSIONS IN SPACE(TV REFERENCE) OR TURDS WORKS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
ST8 OG,STRAIGHT OG OG=ORIGINAL GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
H8 TTUN,HATE THAT TEAM UP NORTH (MICHIGAN REFERED BY OHIO STATE FANS),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
RVRRED,RIVER RED,Vehicle Related,3,Vehicle Related,0,3,3
THUGNMD,THE UGLY NOMAD THUGGIN MAD?,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
2BG NUGZ,TWO BIG NUGS-WEED(BALLS?),Gang and Drug References,0,Weapons,3,0,4
BAC DOR,BACK DOOR(SEXUAL?),Sexual References,5,Sexual References,4,5,5
BICHASS,BITCH ASS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
NO PLN B,NO PLAN B,Sexual References,5,Explicit and Vulgar Language,1,5,1
SIG X,SIGMA CHI (FRATERNITY),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
STONER,STONER=PERSON WHO SMOKES MARIJUANA,Gang and Drug References,0,Gang and Drug References,2,0,0
OH 5H1T,OH SHIT,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
AUDZNTZ,"AWW, DEEZ NUTS",Explicit and Vulgar Language,2,Sexual References,4,1,5
HOP2BCH,HOP TO BITCH,Explicit and Vulgar Language,2,Sexual References,4,1,5
SIX GUN,SIX GUN,Weapons,4,Weapons,3,4,4
LIL RCKT,LITTLE ROCKET (AS IS ROCKETSHIP),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SMKWEED,SMOKE WEED/MARIJUANA,Gang and Drug References,0,Gang and Drug References,2,0,0
RED DAWN,RED DAWN,Vehicle Related,3,Personal Names and Sentimental Values,5,3,6
BCH LUV,BEACH LOVE BITCH LOVE,Explicit and Vulgar Language,2,Sexual References,4,1,5
WTFLOCK,WTF LOCK(?),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
DUKHNNT,DUCK HUNT (GAME),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
RVSDCAT,RIVERSIDE CAT,Cats and Pets,7,Vehicle Related,0,7,3
XPCTOPM,EXPECTO PATRONUM (MOVIE REFERENCE),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
WCKD M3,WICKED(COOL),Explicit and Vulgar Language,2,Weapons,3,1,4
R2 VAPE,VAPE,Sexual References,5,Vehicle Related,0,5,3
POPS 5O,FATHER OR 5-0 =POLICE,Weapons,4,Explicit and Vulgar Language,1,4,1
MACHN G,MACHINE GUN,Weapons,4,Weapons,3,4,4
SCDK,SUCK DICK,Sexual References,5,Sexual References,4,5,5
LILMEOW,LITTLE MEOW,Explicit and Vulgar Language,2,Cats and Pets,6,1,7
KLLER B,KILLER B(TYPE OF MOTOR),Vehicle Related,8,Vehicle Related,0,3,3
HAHABIH,HAHA BIH=BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BLUER2,BLUE R2-D2 (CHARACTER),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
GRAMYWD,GRANDMA WOOD,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
TACOMOB,TACO MOB,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
2017 GT,2017 FORD GT,Vehicle Related,8,Vehicle Related,0,3,3
BTFD 15,BEAR THE FUCK DOWN (PHRASE),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SCUMMYY,SCUMMY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
AF FAMLY,AIR FORCE FAMILY OR AF = AS FUCK FAMILY,Weapons,4,Explicit and Vulgar Language,1,4,1
TAIFTR,TIE FIGHTER FROM STAR WARS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BB HEAD,HEAD=SEXUAL,Sexual References,5,Sexual References,4,5,5
USAGA,USA GREAT AGAIN,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
AFEEM,ANOTHER NAME FOR OPIUM,Gang and Drug References,0,Personal Names and Sentimental Values,5,0,6
BNHUNTN,BEEN HUNTING,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
69 BOTCH,69(SEXUAL) BOTCH=BITCH,Sexual References,5,Sexual References,4,5,5
FAASS,FAT ASS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CHN SMKG,CHAIN SMOKING,Gang and Drug References,0,Vehicle Related,0,0,3
OSPRREY,OSPREY(BIRD),Explicit and Vulgar Language,2,Sexual References,4,1,5
KILABMR,KILLA(KILLER/COOL) BEAMER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
LYFISHT,LIFE IS SHORT OR LIFE IS SHIT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
KCKROCS,KICK ROCKS PHRASE MEANING GET OUT OF HERE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
NUQ 1724,NUKE 1724,Weapons,4,Vehicle Related,0,4,3
FKNBDAZ,FUCKING BADASS,Explicit and Vulgar Language,2,Sexual References,4,1,5
O61541L,NAME AND BIRTH,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
SIG 9MM,9MM GUN,Weapons,4,Weapons,3,4,4
ACMPLCE,ACCOMPLICE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SALTYAF,SALTY AS FUCK,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
IBNUTTY,I BE NUTTY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
H77 GATO,SPANISH CAT,Cats and Pets,7,Cats and Pets,6,7,7
DIDIER C,NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BOM 1,BOMB,Weapons,4,Explicit and Vulgar Language,1,4,1
MYOUIJA,OUIJA(BOARD GAME),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FXR4GVN,FUCKS ARE FORGIVEN,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
PEENT,peanut m OR peen=penis,Sexual References,5,Sexual References,4,5,5
MRDABZ,MISTER DABS(DRUG REFERENCE),Gang and Drug References,0,Gang and Drug References,2,0,0
BULLYOU,BULLY YOU,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BSDAN,BULLSHIT DAN,Sexual References,5,Explicit and Vulgar Language,1,5,1
NUT ONE,NUT ONE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GOP PWR,GOP(GRAND OLD PARTY) POWER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
VIILION,VILLAIN,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SNWBALL,SNOWBALL,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
Z3X,Z3X=SEX,Gang and Drug References,0,Sexual References,4,0,5
MOB SQD,MOB SQUAD,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
GON2 HLL,NO MEANING ON REG 17 GOING(GONE) TO HELL,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CHPNHAM,CHOPPING HAM,Explicit and Vulgar Language,2,Weapons,3,1,4
STKRKTY,STALKER KITTY,Cats and Pets,7,Cats and Pets,6,7,7
PHUCIT1,FUCK IT,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BLEKCAT,BLACK CAT,Cats and Pets,7,Cats and Pets,6,7,7
424 IZ,CA AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
SPAZZY,SPAZZY(SPASTIC),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LTL BAST,LITTLE BASTARD,Sexual References,5,Explicit and Vulgar Language,1,5,1
SOUL RED,SOULD RED,Vehicle Related,3,Sexual References,4,3,5
RC F YAH,[CAR NAME] FUCK YEA,Vehicle Related,8,Vehicle Related,0,3,3
GUN FTR,GUN FIGHTER,Weapons,4,Weapons,3,4,4
NEGRA,NEGRA=BLACK IN SPANISH,Vehicle Related,3,Area Codes and Regional Pride,7,3,2
LMALOSO,MALOSO=SPANISH INSULT,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
LYNPIPA,LAYING PIPE=SEX,Sexual References,5,Sexual References,4,5,5
INFIDIL,INFIDEL=RELIGIOUS NON-BELIEVER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CHMPR$B,CHOMPER b=bitch?,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BNTOVER,BENT OVER (SEXUAL?),Sexual References,5,Sexual References,4,5,5
PIMP327,PIMP,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PHO KEW,FUCK YOU,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
HIBDAZZ,HI BEDAZZLED OR HI BAD ASS,Explicit and Vulgar Language,2,Sexual References,4,1,5
HULNASP,HAULING ASS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
RDY2PLA,READY TO PLAY,Sexual References,5,Cats and Pets,6,5,7
IEATASS,I EAT ASS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
CAMLTQW,CAMEL TOE(SEXUAL),Sexual References,5,Sexual References,4,5,5
EASY,EASY,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
WOODYLV,WOODY(SEXUAL) LOVE,Sexual References,5,Sexual References,4,5,5
EXTRMHT,EXTREME HATE OR EXTERMINATE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
H82BCGD,HATE TO BE CAGED,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
TNT REX,TNT TREX,Weapons,4,Vehicle Related,0,4,3
CHP NOO,NO CHIP(AS IN PAINT),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SMK HERB,SMOKE HERB=WEED,Gang and Drug References,0,Gang and Drug References,2,0,0
SXXYHOE,SEXY HOE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
OH FACK,OH FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
69LUV N,69 LOVIN,Sexual References,5,Sexual References,4,5,5
5 OH FOX,5-OH POLICE FOX(NEWS?),Weapons,4,Explicit and Vulgar Language,1,4,1
SXXTY 9,69(SEXUAL),Sexual References,5,Sexual References,4,5,5
G19M69C,1969 GMC(CAR),Vehicle Related,8,Vehicle Related,0,3,3
FWLKILN,FOWL KILLIN,Explicit and Vulgar Language,2,Weapons,3,1,4
RBSVAGE,RED BLACK SAVAGE,Vehicle Related,3,Vehicle Related,0,3,3
OVTHUGS,ORANGEVALE THUGS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
FN THING,FUCKING THING,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
TACO TK,TACO TRUCK,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KAKEPOP,CAKE POP,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
N2DEEP,IN TOO DEEP,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
1BTCN VT,ONE BITCHIN CORVETTE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BDKM VIB,BITCH DON’T KILL MY VIBE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BLZN 51,BLAZING 1951(CAR YEAR),Vehicle Related,8,Vehicle Related,0,3,3
DKS 68,DICKS 68(REFERENCE TO 69?),Sexual References,5,Sexual References,4,5,5
REDSO5,NICKNAME(RED) AND YEAR OF BIKE,Vehicle Related,8,Vehicle Related,0,3,3
BYRNER,BURNER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
FCK 3,FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
2 BLASÃ‰,TOO BLASA,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GPOPS73,GRANDPAS 73(YEAR),Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
IEDS X5,5 IEDS = IMPROVISED EXPLOSIVE DEVICE,Weapons,4,Weapons,3,4,4
LAGUNA C,LAGUNA CALIFORNIA OR LAGUNA CRIP,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
RAIDR13,RAIDER(SPORTS TEAM) 13,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
ABG 1V,ABG MEANS AZNBBYGIRL OR ASIAN FEMALE GANGSTER,Gang and Drug References,0,Sexual References,4,0,5
BISH417,LAST NAME & LUCKY NUMBERS,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
42OEDDI,420=DRUG REFERENCE EDDI,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
BLUNSTY,BLUE NASTY BLUNTS-WEED,Gang and Drug References,0,Weapons,3,0,4
BCHCTY8,BEACH CITY 8 BITCH CITY?,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
ZROFXS,NO FUCKS,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
CARPETS,CARPETS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
4LY554G,NAME REPLACED WITH NUMBERS,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
ELITE 88,TOP OF THE LINE AND YEAR OF BIRTH 88 HITLER REFERENCE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SKA69,SKA=DRUGS 69(SEXUAL REFERENCE),Sexual References,5,Sexual References,4,5,5
BOOTZ13,BOOTS(NICKNAME),Personal Names and Sentimental Values,6,Weapons,3,6,4
KWEEN BE,QUEEN BEE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
SIEGEUP,SIEGE UP(QUOTE),Explicit and Vulgar Language,2,Sexual References,4,1,5
69 ARMY,69 ARMY,Weapons,4,Weapons,3,4,4
I$NIPPY,I LOVE NIPPY,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
SIKSCAT,SICK SCATPACK(CAR),Vehicle Related,8,Vehicle Related,0,3,3
BDAFMZ3,BAD AS FUCK MAZDA,Vehicle Related,8,Explicit and Vulgar Language,1,3,1
EFFFIT,FUCK IT,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
ILWU42O,I LOVE WHEN YOURE 420=HIGH,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
BNDYBLZ,BUNDY BALLS,Explicit and Vulgar Language,2,Sexual References,4,1,5
4 WHOOPI,FOR WHOOPI=SEX,Sexual References,5,Sexual References,4,5,5
CDAWG 12,CDAWG=NICKNAME CDAWG = CRIP AFFILIATION,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
RAMM N U,RAMING YOU(SEXUAL?),Sexual References,5,Sexual References,4,5,5
BRN2BSS,BORN TO BOSS OR BORN TO BULLSHIT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SKNDLUS,SCANDALOUS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FDALLAS,FUCK DALLAS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HTSHTZ1,HOT SHOTS OR HOT SHIT,Explicit and Vulgar Language,2,Sexual References,4,1,5
GANJ GUY,GANJA=WEED GUY,Gang and Drug References,0,Gang and Drug References,2,0,0
PJSTACO,PJ'S TACO,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
4 PLAAY,FOREPLAY,Sexual References,5,Cats and Pets,6,5,7
HUNTM DN,HUNTNING THEM DOWN,Explicit and Vulgar Language,2,Weapons,3,1,4
WEST AF,WEST AS FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
