,plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
1322,DOS CATS,2 cats,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1323,BBPEST,BODEGA BAY RESIDENT,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
1324,GDEADHD,FAN OF GRATEFUL DEAD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1325,GNJWIN,GEORGE AND JONI WIN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1326,GROOVYJ,"J COULD STAND FOR JOINT, GROOVY JOINT",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
1327,JOHN114,THE WORD WAS MADE FLESH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1328,MRWM4T,"MR WILL MODEL FOR TOYS, SOUNDS SEXUAL",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1329,NDFBALL,NOTRE DAME FOOTBALL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1330,NSMO51O,THE PLATE CORRESPONDS TO MY CAR'S MODEL  TRIM AND THE PRODUCTION NUMBER.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1331,O1JAN14*,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
1332,SPCBAL2,IT'S A CONTINUATION OF THE STARSHIP NAME  SPACEBALL 1 FROM THE MOVIE SPACEBALLS.,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
1333,VBAL4LF,VOLLEYBALL FOR LIFE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1334,WCS2O14,WEST COAST SWING 2014,Business and University Identities,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
1335,W8882J,(W)THE FIRST LETTER OF MY NAME (88) YEAR OF BIRTHDAY (82) WIFE'S YEAR OF BIRTHDAY,Area code and Numbers,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1336,YOTHERE,"YOU, HOSTILE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1337,1REDWGN,TO GO ON MY RED FORD EXPLORER (WAGON).,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1338,1518SAP,BADGE NUMBER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1339,9OOO,"4# PLATE , HAVE ALSO ORDERED 7001",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
1340,HEIDYHO,"HO, INAPPROPRIATE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1341,NVRLOVD,NEVER LOVED,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1342,YOULIVE,YOU LIVE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1343,LVCLBCH,LOVE SEAL BEACH,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1344,MIPEARL,"MY CAR IS AS WHITE AS A PEARL. I NICKNAMED  THE CAR ""PEARL""! PEARL IS MY CAR.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1345,AXLDC,AXL ROSE WITH ACDC,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
1346,BLUGRAS,BLUEGRASS (AS IN BLUEGRASS MUSIC),Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Business and University Identities
1347,CDRED67,CODE RED 67. THE NAME OF MY CARS  INSTAGRAM ACCOUNT. @CODERED_67,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers
1348,DUBSOX,FAN OF CHICAGO WHITE SOX,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
1349,FUSSY73,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1350,GBAPUG,"G, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
1351,JUNEBLU,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1352,KATVAL,MY DAUGHTERS NAMES,Personal and Family names,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
1353,REDDESS,MOST RED,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
1354,REDSMBL,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
1355,SUPRB69,1969 SUPER BEE,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
1356,TONZ69,TONY'S 1969 CAMARO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1357,TURBOGS,THE CAR IS A BUICK REGAL GS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1358,2236,"FAVORITE NUMBERS TOGETHER, NO ADDITIONAL MEANING",Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1359,CATWHO,"CAT, SEXUAL REFERENCE",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1360,PASTA4U,"YOU, HOSTILE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1361,SHELSSS,ABBREVIATED NAME: SHELLIE'S SUPER SPORT  VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
1362,CHAPI19,CAR NAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1363,CHENTE9,CAR NAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1364,JP4 PLAY,JEEP FOR PLAY,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1365,K14PONY,2014 MUSTANG,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
1366,REDSRED,REDS HEAD RED VEHICLE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1367,YO HEFE,I BOSS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1368,C$TLADI,CAT LADY,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1369,BE RED,THE COLOR OF MY CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1370,ASWNAVY,ANTI SUBMARINE WARFARE NAVY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
1371,BECH LIF,BEACH LIFE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1372,LTENCHA,WIFE'S NICKNAME,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1373,CCS9999,FAMILY NAME INITIALS AND GOOD LUCK,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
1374,CSIDE64,SEASIDE CA 1964,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1375,CUZ GOD,RELIGION,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1376,DE666VL,MY FAVORITE NUMBERS AND DEV IS MY WIFES NAME. L IS LAST INITIAL,Area code and Numbers,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
1377,JHO RAN,PULLED FOR HO,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1378,MP HOAH,MILITARY POLICE HOAH,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
1379,RAN JHO,NAME OF HUSBAND AND WIFE,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1380,ROLL 69,69 ' ROLLS ROYCE,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
1381,RVSDCAT,RIVERSIDE CAT,Pet and Animal Themes,Pet and Animal Themes,Area code and Numbers,Pet and Animal Themes,Pet and Animal Themes
1382,SONKO,SWAHILI SLANG FOR LEADER OR BOSS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1383,LY KBOSS,LIKE A BOSS,Diverse Personal Expressions,Business and University Identities,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1384,A 666,CODE A WITH 666,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1385,ERNGBRA,"ERIN GO BRAGH WHICH MEANS ""IRELAND FOREVER""",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1386,IL HEFE,THE BOSS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1387,LUV MUVI,LOVE MUJI (MY CAT) AND VIVI (MY DAUGHTER),Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1388,NAVY FMF,I SERVED IN THE NAVY IN THE FLEET MARINE FORCE FMF,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1389,NORIRED,NICOLE MARIE NORI IS NICK NAME FOR NICOLE MARIE - RED IS MY FAV COLOR,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1390,NOT4DS,LOOKS LIKE NOT FOR ROADS AND LOOKS LIKE NO TARDS,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1391,OC 911T,MY NAME AND THE MODEL NAME OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1392,PGPNTER,PAINTING CONTRACTOR,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
1393,QUIKKAT,QUICK CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1394,ROB PAL,ABBREVIATION FOR ROBERTO PALACIOS,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1395,U WATT M8,"BRITISH EXPRESSION, SHORT FOR: WHAT DO YOU MEAN MY FRIEND? WILL BE GOING ON AN ELECTRIC CAR - HENCE THE WATT PUN. WATT IS THE SI UNIT FOR POWER.",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
1396,WIKDCAT,WICKED CAT. THE CAR IS A DODGE CHALLENGER HELLCAT. THANKS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
1397,17 H CAT,LAST TWO DIGETS OF MODEL YEAR AND ABREVIATED LETTERS OF VEHICLE MODEL HELLCAT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1398,55P PTWN,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1399,78SC911,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1400,BLUE ZEN,BLUE ZEN ( PEACE AND TRANQUILITY?,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
1401,BLU7PRL,SPIRITUAL WISDOM,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1402,CLVR BLU,"CLEVER BLUE, MASHUP OF VELOSIRAPTOR NAME AND QUOTE FROM JURASSIC PARK MOVIES",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1403,DYRSBLU,DODGERS BLUE,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
1404,REDJEWL,CAR COLOR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
1405,REDVLK8,I BAKE RED VELVET CAKES,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1406,BLUER,I WANT THE OCEANS TO STAY BLUE AND MY CAR IS BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Colors and Descriptive Traits
1407,STIQ,stick,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
1408,B 66 S,"B.S. =BULLSHIT, CUSTOMERS BERNARD AND SANDRA",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
1409,EL PEINE,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1410,HGOKAT1,MY NAME AND WIFE'S NAME,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1411,KONE YO,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1412,KRWD KTL,"THE PLATE IS FOR A MUSTANG AND IT STANDS FOR ""CROWD CONTROL"" WHICH CORRELATES WITH AN ON GOING MUSTANG JOKE",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
1413,LAK8RS,LA LAKERS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
1414,LOWRNGR,"LOW RANGER , FOR OFF ROAD LOW RANGE GEARING",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
1415,MUDDYZ U,SHORT FOR MUDDY UNDERS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1416,MY3RD RT,THIS IS THE THIRD CHARGER R/T I HAVE OWNED,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1417,OJ SIMP,GOOD LUCK,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1418,SNGERAS,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1419,TA CHIVO,IT'S COOL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1420,THE SET,NAME OF BUSINESS I OWN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1421,82 WPB,82 FOOT US COAST GUARD PATROL BOAT,Diverse Personal Expressions,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1422,BLUQT 2,BLUE CUTIE NO. 2,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
1423,CYNCATS,CANYON CATS,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1424,I AM CAT,I AM CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1425,JHISNCH,JANA H. IS IN CHARGE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1426,BLIND W,HUSBANDS STAGE NAME BLIND WILLIE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
1427,BTTL 69,CAR/VLKSW,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1428,BV221DV,SFPD STAR NUMBER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1429,CRPSHOW,CREEPSHOW,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1430,EV288,FIRST INITIAL LUCKY NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1431,HARVY LE,HARVEY LEE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1432,HIGH K5,I HAVE A LIFTED BLAZER K5.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1433,HLLNHLS,"FAVORITE SONG BY THE PISTOL ANNIES ""HELL ON HEELS""",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1434,ITS HR69,IT'S HER 1969 BARRACUDA,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1435,J BOSS,JAVIER THE BOSS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1436,JON1421,BIBLE VERSE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1437,KLN WNDO,CLEAN WINDOWS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1438,MYOUIJA,MY OUIJA IS A BOARD GAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1439,NYUJD14,I GRADUATED FROM NYU SCHOOL OF LAW IN 2014. MY DEGREE IS A JD.,Business and University Identities,Business and University Identities,Business and University Identities,Personal and Family names,Business and University Identities
1440,PEREZ5O,LAST NAME OF OWNER AND ENGINE SIZE OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1441,RBETO 71,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1442,SC NICA,"SC MEANS UNIVERSITY OF SOUTHERN CALIFORNIA, MY ALMA MATER NICA IS SHORT FOR NICARAGUA, MY PLACE OF BIRTH",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1443,SPIT65,BOAT NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
1444,3N14GVS,GOD (TRINITY) FORGIVES,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1445,GRRAMS$,LOVE MY GRANDMOTHER,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1446,MUTT$ER,RESCUES AND LOVES MUTT DOGS,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
1447,$SUTIL,CANTANKEROUS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1448,EELEGAL,WHAT ONE SHOULD NOT DO; SOMETHING ILLEGAL.,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
1449,BLACK14,MY CAR IS A BLACK 2014,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1450,BLUAXLZ,REPRESENTS THE NAME OF OUR JEEP CLUB  CALLED BLUE AXLES,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1451,BLUEINC,BLUE LINE INC,Business and University Identities,Area code and Numbers,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Business and University Identities
1452,BLUEWVE,BLUEWAVE IS THE NAME OF MY COMPANY,Business and University Identities,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
1453,BLUMGIK,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
1454,BLUOVL,"BLUE OVAL IS THE FORD COMPANY LOGO  NICKNAME, A BLUE OVAL WITH ""FORD"" INSIDE,  SINCE THE EARLY 1900'S",Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
1455,BLURS,COLOR OF CAR PLUS MODEL OF CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
1456,DUBUARX,TRANSLITERATION OF W-R-X,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers
1457,FLX7CAT,"FAVORITE CARTOON GROWING UP. ""FELIX THE CAT"".",Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1458,GRY5OH,GREY MUSTANG 5.0,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1459,HIYAYAA,MY GRANDSON CALLS ME YAYA,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
1460,HUNTER9,"HUNTER, HOSTILE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
1461,JAGERBM,"JAGER IS GERMAN FOR HUNTER, AND MY CAR IS GERMAN. BM IS BOOST MANAGEMENT BECAUSE  IT HAS A TURBO.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
1462,LADBLUU,LOS ANGELES DODGERS BLUE,Business and University Identities,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
1463,LCMNO69,1969 EL CAMINO,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
1464,PIKAAYU,"IN THE KAWAIISU TRIBAL LANGUAGE, IT MEANS  ""LATER"". MY FAMILY IS KAWAIISU.",Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1465,REDSJKU,MY JEEP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
