plate,meaning,classification_agglo,cluster_meaning
GPOPS73,GRANDPAS 73(YEAR),0,Vehicle Descriptions and Colors
IEDS X5,5 IEDS = IMPROVISED EXPLOSIVE DEVICE,0,Vehicle Descriptions and Colors
LAGUNA C,LAGUNA CALIFORNIA OR LAGUNA CRIP,0,Vehicle Descriptions and Colors
RAIDR13,RAIDER(SPORTS TEAM) 13,0,Vehicle Descriptions and Colors
ABG 1V,ABG MEANS AZNBBYGIRL OR ASIAN FEMALE GANGSTER,2,"Gang, Drugs, and Street Culture"
BISH417,LAST NAME & LUCKY NUMBERS,6,Personal Names and Sentiments
42OEDDI,420=DRUG REFERENCE EDDI,0,Vehicle Descriptions and Colors
BLUNSTY,BLUE NASTY BLUNTS-WEED,2,"Gang, Drugs, and Street Culture"
BCHCTY8,BEACH CITY 8 BITCH CITY?,0,Vehicle Descriptions and Colors
ZROFXS,NO FUCKS,3,Explicit and Vulgar Language
CARPETS,CARPETS,0,Vehicle Descriptions and Colors
4LY554G,NAME REPLACED WITH NUMBERS,6,Personal Names and Sentiments
ELITE 88,TOP OF THE LINE AND YEAR OF BIRTH 88 HITLER REFERENCE,0,Vehicle Descriptions and Colors
SKA69,SKA=DRUGS 69(SEXUAL REFERENCE),5,Sexual References
BOOTZ13,BOOTS(NICKNAME),6,Personal Names and Sentiments
KWEEN BE,QUEEN BEE,0,Vehicle Descriptions and Colors
SIEGEUP,SIEGE UP(QUOTE),0,Vehicle Descriptions and Colors
69 ARMY,69 ARMY,0,Vehicle Descriptions and Colors
I$NIPPY,I LOVE NIPPY,0,Vehicle Descriptions and Colors
SIKSCAT,SICK SCATPACK(CAR),1,Edgy Humor and Random Slang
BDAFMZ3,BAD AS FUCK MAZDA,1,Edgy Humor and Random Slang
EFFFIT,FUCK IT,3,Explicit and Vulgar Language
ILWU42O,I LOVE WHEN YOURE 420=HIGH,0,Vehicle Descriptions and Colors
BNDYBLZ,BUNDY BALLS,0,Vehicle Descriptions and Colors
4 WHOOPI,FOR WHOOPI=SEX,5,Sexual References
CDAWG 12,CDAWG=NICKNAME CDAWG = CRIP AFFILIATION,0,Vehicle Descriptions and Colors
RAMM N U,RAMING YOU(SEXUAL?),5,Sexual References
BRN2BSS,BORN TO BOSS OR BORN TO BULLSHIT,0,Vehicle Descriptions and Colors
SKNDLUS,SCANDALOUS,0,Vehicle Descriptions and Colors
FDALLAS,FUCK DALLAS,0,Vehicle Descriptions and Colors
HTSHTZ1,HOT SHOTS OR HOT SHIT,0,Vehicle Descriptions and Colors
GANJ GUY,GANJA=WEED GUY,2,"Gang, Drugs, and Street Culture"
PJSTACO,PJ'S TACO,0,Vehicle Descriptions and Colors
4 PLAAY,FOREPLAY,5,Sexual References
HUNTM DN,HUNTNING THEM DOWN,0,Vehicle Descriptions and Colors
WEST AF,WEST AS FUCK,3,Explicit and Vulgar Language
UR SALTY,YOU ARE SALTY,0,Vehicle Descriptions and Colors
BLCKOWT,BLACK OUT,0,Vehicle Descriptions and Colors
C HUSSLE,CHARLIE HUSTLE(ATHLETE),0,Vehicle Descriptions and Colors
AKLUV,AK=GUN OR AK=ALASKA LOVE,0,Vehicle Descriptions and Colors
IDGF IGA,I DON’T GIVE A FUCK I GO ANYWHERE,3,Explicit and Vulgar Language
DUNG HO,DUNG HOE,0,Vehicle Descriptions and Colors
GR8X4US,GREAT X=TIMES/SEX/EXTASY FOR US,5,Sexual References
SMLYTT,SMILEY TIANTIAN(NAME),6,Personal Names and Sentiments
RNMF2,RUN MOTHERFUCKER,0,Vehicle Descriptions and Colors
ASMAN1,LOOKS LIKE ASS MAN 1,0,Vehicle Descriptions and Colors
MFU,MOTORCYCLES FOR UNITY OR MAD FUCKED UP OR MIDDLE FINGER UP,1,Edgy Humor and Random Slang
SHZNATS,SHIZNITS(PHRASE),6,Personal Names and Sentiments
1ULV2H8,ONE YOU LOVE TO HATE,3,Explicit and Vulgar Language
SF SNIPR,SPECIAL FORCES SNIPER OR SAN FRANCISCO SNIPER,0,Vehicle Descriptions and Colors
NUKEZ,NUKES=WEAPON,0,Vehicle Descriptions and Colors
BITSHYD,BITCH SHIT,0,Vehicle Descriptions and Colors
WTF RHD,WHAT THE FUCK RHD(RIGHT HAND DRIVE?),1,Edgy Humor and Random Slang
415CITY,[AREA CODE]  CITY,4,Regional Pride and Area Codes
MZENBLU,MAIZE AND BLUE,0,Vehicle Descriptions and Colors
LNCHBX1,LUNCH BOX,0,Vehicle Descriptions and Colors
RED GUTS,RED GUTS(INTERIOR),1,Edgy Humor and Random Slang
MRQ9999,MR QUOC 9999,0,Vehicle Descriptions and Colors
ASS HOL,ASSHOLE,0,Vehicle Descriptions and Colors
LOWSTDS,LOW STANDARDS,0,Vehicle Descriptions and Colors
CEIDYAF,CEIDY=SEEDY AF = AS FUCK,5,Sexual References
7TFREAK,1970(CAR YEAR) THE FREAK,1,Edgy Humor and Random Slang
5OTOSLW,FIVE-OH=POLICE TOO SLOW,0,Vehicle Descriptions and Colors
LA NEGRI,NERGRI=BLACK PLURAL IN SPANISH,1,Edgy Humor and Random Slang
XID MARY,CROSS EYED MARY,0,Vehicle Descriptions and Colors
FTZYMBZ,FUTZY MERCES BENZ,1,Edgy Humor and Random Slang
F ONE,FORMULA ONE RACING OR FUCK ONE,1,Edgy Humor and Random Slang
NUKEMOM,NUCLEAR MOM,0,Vehicle Descriptions and Colors
CLAUDKL,GAMING NAME,0,Vehicle Descriptions and Colors
RZR BOXX,RAZOR BOX,0,Vehicle Descriptions and Colors
2DOMNAT,TO DOMINATE,0,Vehicle Descriptions and Colors
FUYOU,"FUCK YOU, customer name is Fuyou Gu",6,Personal Names and Sentiments
FUCHI 3,FUCHI=BAD SMELLING,0,Vehicle Descriptions and Colors
LILDICK,LITTLE DICK,5,Sexual References
HELLTRN,HELL TRAIN,0,Vehicle Descriptions and Colors
PORMEXN,POOR MEXICAN\,2,"Gang, Drugs, and Street Culture"
HILLTTR,HILL(NAME) TRUCK AND TRAILER,1,Edgy Humor and Random Slang
HELION 1,HELION=FROM HELL,0,Vehicle Descriptions and Colors
PURE LVN,PURE LIVING OR PURE LOVIN,0,Vehicle Descriptions and Colors
OH MY 69,OH MY 69(SEXUAL),5,Sexual References
XOXXXOX,HUG AND KISSES SYMBOLS XXX SEXUAL REFERENCE,5,Sexual References
88HHH88,88-HITLER,0,Vehicle Descriptions and Colors
CUH82BU,SEE YOU HATE TO BE YOU,3,Explicit and Vulgar Language
ITS MY G,IT IS MY G(CAR MODEL),1,Edgy Humor and Random Slang
MRBGSTF,MR BIG STUFF(SONG OR SEXUAL REFERENCE),5,Sexual References
619,WEDDING ANNIVERSARY. JUNE 19TH,6,Personal Names and Sentiments
DROPN U,DROPPING YOU=LEAVING YOU BEHIND OR KNOCK SOMEONE OUT.,0,Vehicle Descriptions and Colors
HOTTBCH,HOT BITCH,0,Vehicle Descriptions and Colors
PAZZO 13,ITALIAN FOR DERANGED/CRAZY 13 = GANG NUMBER?,6,Personal Names and Sentiments
HYRDKLR,HIRED KILLER,0,Vehicle Descriptions and Colors
1SIKFKR,ONE SICK FUCKER,0,Vehicle Descriptions and Colors
FOGYOU,fuck you,3,Explicit and Vulgar Language
STFUPLZ,SHUT THE FUCK UP PLEASE,3,Explicit and Vulgar Language
BULYPWS,I HAVE BULLDOGS. IT MEANS BULLDOG PAWS,0,Vehicle Descriptions and Colors
RX PHO,RX=MEDICINE PHO=SOUP,2,"Gang, Drugs, and Street Culture"
THEBUNZ,THE BUNS=BUTT,0,Vehicle Descriptions and Colors
DRAG CAT,DRAG(AS IN DRIFT) HELLCAT(CAR),0,Vehicle Descriptions and Colors
MADMAC,MAD MAC(MOVIE),0,Vehicle Descriptions and Colors
KYLERHO,NAME AND LAST NAME,6,Personal Names and Sentiments
69MOBBN,69 MOBBING,0,Vehicle Descriptions and Colors
8ZERO5,AREA CODE,4,Regional Pride and Area Codes
TURBO HO,TURBO HOE,1,Edgy Humor and Random Slang
MOB LYFE,MOB LIFE,0,Vehicle Descriptions and Colors
WIKDCAT,WICKED CAT,0,Vehicle Descriptions and Colors
1SLKHOE,ONE SLICK(?) HOE,0,Vehicle Descriptions and Colors
ALLEKT,ALLEY CAT(NICKNAME),0,Vehicle Descriptions and Colors
SUPFCKR,WHATS UP FUCKER,0,Vehicle Descriptions and Colors
MVEVRNP,MOVE OVER AND PEE,0,Vehicle Descriptions and Colors
SCPO,SENIOR CHIEF PETTY OFFICER,0,Vehicle Descriptions and Colors
HOG BOSS,HOG=MOTORCYCLE BOSS,0,Vehicle Descriptions and Colors
LO NUTS,LIVE OAKE NUTS(MASCOT),0,Vehicle Descriptions and Colors
GO UGLY,GO UGLY(PHRASE),0,Vehicle Descriptions and Colors
OGSURFR,OLD GUY SURFER OR ORIGINAL GANGSTER SURFER,2,"Gang, Drugs, and Street Culture"
FJ55 PIG,FJ55=CAR MODEL. NICKNAMED THE IRON PIG.,1,Edgy Humor and Random Slang
RANDG,ROBERT AND GRISELDA,0,Vehicle Descriptions and Colors
AMPD BLU,AMPED BLUE (CAR COLOR),1,Edgy Humor and Random Slang
9EFSGVN,NO(NEIEN) FUCKS GIVEN,3,Explicit and Vulgar Language
BDCMJB,BAD CUM JOB,5,Sexual References
CREDO13,LATIN FOR I BELIEVE 13-GANG?,6,Personal Names and Sentiments
BLACKD2,BLACK D2(CAR MODEL) OR BLACK D AS IN DICK TOO,0,Vehicle Descriptions and Colors
PAPO2O9,PAPA [AREA CODE],4,Regional Pride and Area Codes
SXE CBRA,SEXY COBRA,1,Edgy Humor and Random Slang
BADASRV,BAD ASS RV,0,Vehicle Descriptions and Colors
GOCMNDO,GO COMANDO=UNDERWEAR LESS,0,Vehicle Descriptions and Colors
BIMBOS2,BIMBO,0,Vehicle Descriptions and Colors
4LILBLU,FOR LITTLE BLUE,0,Vehicle Descriptions and Colors
KO 42O,KNOCK OUT 420=MARIJUANA,0,Vehicle Descriptions and Colors
GTSGTFO,GTS=GO TO SLEEP(?) GTFO=GET THE FUCK  OUT,2,"Gang, Drugs, and Street Culture"
NVTANK,NV(CAR MODEL) TANK(NICKNAME),0,Vehicle Descriptions and Colors
IHORSI,HORSIES(AFFECTIONATE PLURAL OF HORSES),0,Vehicle Descriptions and Colors
LVE TOY,A LOVIE TOYOTA LOVE TOY,1,Edgy Humor and Random Slang
ULOVGAS,YOU LOVE GAS,0,Vehicle Descriptions and Colors
HPARMRY,HIS PLACE ARMORY,0,Vehicle Descriptions and Colors
SPARK ME,SPARK ME SPARK=DRUGS?,2,"Gang, Drugs, and Street Culture"
FVCKYOV,FUCK YOU,3,Explicit and Vulgar Language
AHHBLUE,AHH BLUE(NICKNAME),1,Edgy Humor and Random Slang
MCHE BMB,MICHELLE IS THE BOMB,0,Vehicle Descriptions and Colors
7HORCRX,7 HORCRUX(MOVIE REFERENCE),0,Vehicle Descriptions and Colors
DONG ANH,DONG=PENIS ANH(?),5,Sexual References
STYMOBN,STAY RIDDING MOBBIN,0,Vehicle Descriptions and Colors
REDRRMM,RED RUM=MURDER,1,Edgy Humor and Random Slang
SIGG9MM,SIGG=SICK(?) 9MM=GUN,0,Vehicle Descriptions and Colors
BBADASP,BAD ASS,0,Vehicle Descriptions and Colors
2MUCHFN,TOO MUCH FUN OR FUCKING,3,Explicit and Vulgar Language
SPARK 24,SPARK=SMOKE(MARIJUANA) 24(HOURS)=ALL DAY,2,"Gang, Drugs, and Street Culture"
UNION OG,UNION ORIGINAL GANGSTER,2,"Gang, Drugs, and Street Culture"
S A Z Z,SASS OR ASS,0,Vehicle Descriptions and Colors
FSH BCH,FISH BEACH OR FISH BITCH,0,Vehicle Descriptions and Colors
PUBIKER,stinking biker PUBIC AND BIKER,1,Edgy Humor and Random Slang
IKWEENB,ONE QUEEN BEE,0,Vehicle Descriptions and Colors
NKD BRWR,NAKED BREWER(PHRASE),2,"Gang, Drugs, and Street Culture"
AR15MAN,AR15=GUN MAN,0,Vehicle Descriptions and Colors
JHCFX4U,JESUS H CHRIST FUCK YOU,3,Explicit and Vulgar Language
EAT MOB,EAT MOB,0,Vehicle Descriptions and Colors
B MFB,B=BAD MFB-MOTHER FUCKING BEAST(BITCH?),0,Vehicle Descriptions and Colors
E M 323,[INITIALS] [AREA CODE],4,Regional Pride and Area Codes
GMONEY3,G=GANGSTER MONEY,2,"Gang, Drugs, and Street Culture"
KATCLSM,CATACLYSM,0,Vehicle Descriptions and Colors
ESE RIX,ESSE=THAT'S RICKS,0,Vehicle Descriptions and Colors
H8,HATE,3,Explicit and Vulgar Language
UPNSMK4,UP IN SMOKE (DRIVING),2,"Gang, Drugs, and Street Culture"
RUCKING,FUCKING,3,Explicit and Vulgar Language
CR8VCAT,CREATIVE PERSON LOVES CATS,0,Vehicle Descriptions and Colors
BLUSHU,BLUE SHOE (CAR NICKNAME),1,Edgy Humor and Random Slang
2HUMMR2,MAKE AND MODEL OF CAR,1,Edgy Humor and Random Slang
WT TRASH,WHITE TRASH,0,Vehicle Descriptions and Colors
NPY CHK,NAPPY CHICK,0,Vehicle Descriptions and Colors
7DKHIM,dick him,5,Sexual References
BDAZSRT,BADASS RT(?),0,Vehicle Descriptions and Colors
P72O71O,"FIRST INITIAL OF LAST NAME AND BIRTH YEARS OF ME, WIFE AND KIDS",6,Personal Names and Sentiments
KAKEGRL,CAKE GIRL cake=ass?,0,Vehicle Descriptions and Colors
ACOWTNT,ACCOUNTANT,0,Vehicle Descriptions and Colors
BLACK AS,BLACK AS=AS SHIT OR ASS ,1,Edgy Humor and Random Slang
WESSON 1,SMITH AND WESSON=GUN,0,Vehicle Descriptions and Colors
GUANO37,GUANO=BIRD POOP,0,Vehicle Descriptions and Colors
69 GOAT,69=SEX ACT G.O.A.T.=GREATEST OF ALL TIME,5,Sexual References
BDASAMG,BADASS MG(?),0,Vehicle Descriptions and Colors
CALSTA,CALIFORNIA STATE,0,Vehicle Descriptions and Colors
TRIGGGR,TRIGGER,0,Vehicle Descriptions and Colors
H82 7OUT,HATE TO 7 OUT,0,Vehicle Descriptions and Colors
REDSPRT,RED SPORT (CAR COLOR AND MODEL),1,Edgy Humor and Random Slang
HELL RAM,HELLCAT RAM,0,Vehicle Descriptions and Colors
PUMPZ,PUMPS,5,Sexual References
PATSH8R,"PATS(PATRIOTS, SPORTS TEAM) HATER",3,Explicit and Vulgar Language
BEMYBAE,BE MY BAE(PARTNER),5,Sexual References
1DSLDVA,1 DEISEL DIVA,0,Vehicle Descriptions and Colors
IHATPPL,I HAT (OR HATE) PEOPLE,0,Vehicle Descriptions and Colors
BALA,BALLER,0,Vehicle Descriptions and Colors
17CUCA,CUCA = COCKROACH IN SPANISH,2,"Gang, Drugs, and Street Culture"
LAKR213,LOS ANGELES LAKERS [AREA CODE],4,Regional Pride and Area Codes
LRA2788,LUCKY NUMBERS,6,Personal Names and Sentiments
WTF Z33,MY CAR IS Z33 AND THIS IS MY DREAM CAR. MY MOTHER BOUGHT ME THIS DREAM CAR. WTF HIS HER CHINA NAME WONG TIN FANG,1,Edgy Humor and Random Slang
SOMOIST,I AM A PROFESSIONAL CAKE DECORATOR  AND THE CAKE IS DELICIOUS AND MOIST,0,Vehicle Descriptions and Colors
FUKI5I5,I AM AGAINST TERRORISM. FUCK ISIS,0,Vehicle Descriptions and Colors
GOOOOON,PLATES ARE GOING ON A 71 DATSUN WAGON. IN THE CAR SCENE THE DATSUN WAGONS ARE REFFERED TO AS GOONS,2,"Gang, Drugs, and Street Culture"
PSYCHPS,AM A PSYCHOLOGIST IN PALM SPRINGS,0,Vehicle Descriptions and Colors
LES 14,LESTER 2014,0,Vehicle Descriptions and Colors
O1TIME,YOU ONLY HAVE TO LOOK AT IT ONE TIME!,0,Vehicle Descriptions and Colors
PORKYYY,nickname,6,Personal Names and Sentiments
BONG 14,DEPECHE MODE WHICH IS MUSIC BAND NAME,0,Vehicle Descriptions and Colors
H8 RICE,I HAVE A GLUTEN ALLERGY AND I DONT LIKE RICE,0,Vehicle Descriptions and Colors
VACA 13,OUR FAMILYS LAST NAME AND THE DAY I WAS BORN.,6,Personal Names and Sentiments
DAMMITT,DAMN IT,3,Explicit and Vulgar Language
BSTD G8,BASTARD… BEASTED…,5,Sexual References
PACKER G,GREEN BAY PACKER FAN AND THE G STANDS FOR GARCOUSHA OUR LAST NAME,0,Vehicle Descriptions and Colors
BTF OFF,BACK THE FUCK OFF,3,Explicit and Vulgar Language
GOOCH,LAST NAME AND PRIVATE AREA,6,Personal Names and Sentiments
GANGFWD,GANG? WHAT THEY SAY IS TRUE,2,"Gang, Drugs, and Street Culture"
S$M 18,LUCKY LOVE NUMBER,6,Personal Names and Sentiments
MMA DUBZ,"customer is Katrina Coles, not Washington. Dubs can have a drug connotation",2,"Gang, Drugs, and Street Culture"
13BLKRT,2013 BLACK CHALLENGER RT,1,Edgy Humor and Random Slang
BJS HEMI,BJS BLOW JOB CUSTOMER INITIALS NOT BJ,5,Sexual References
XTRRMN8,"EXTERMINATE - FROM DOCTOR WHO EXTERMINATE, COULD BE TAKEN AS HOSTILE",0,Vehicle Descriptions and Colors
ITSHUGE,"THE PLATE IS FOR A NISSAN ARMADA AND ITS  VERY LARGE. REFERENCE TO A PENIS, SEXUAL REFERENCE",2,"Gang, Drugs, and Street Culture"
SNO BOMR,SNOW BOMBER,0,Vehicle Descriptions and Colors
O11235B,Fibonacci sequence which is a mathematic term,0,Vehicle Descriptions and Colors
1DRLUST,WONDER LUST,5,Sexual References
8O H O8,80=MY UNCLE 08 MY GRANDSON H IS FOR NAME,0,Vehicle Descriptions and Colors
14 CBYC,CABRILLO BEACH YACHT CLUB COMMODORE 2014,1,Edgy Humor and Random Slang
BRAD13,THIS IS MY NICK NAME AS MY FIRST NAME IS  BRIDGETTE AND MY LAST NAME IS RADABAUGH. I PICKED 13 BECAUSE IT IS MY BIRTHDAY AND MY FAVORITE NUMBER,6,Personal Names and Sentiments
ZMBONEE,A ZAMBONIE IS A MACHINE USED TO GET ICE READY TO PLAY HOCKEY,2,"Gang, Drugs, and Street Culture"
IH8TRFC,"I hate traffic,no quickweb",0,Vehicle Descriptions and Colors
K18QV11,CHILDRENS NAME AND BIRTHDAY,6,Personal Names and Sentiments
SUC1A 1,Bad words suck you all,0,Vehicle Descriptions and Colors
M17LOVE,MITCHELLE FAVORITE NUMBER LOVE,6,Personal Names and Sentiments
PURE FN,MY COMPANY NAME IS PURE FINANCIAL,6,Personal Names and Sentiments
SLYNPOW,SLAYIN POWDER SNOWBAORDING TERM FOR RIDING POWDER,2,"Gang, Drugs, and Street Culture"
NACLBLS,I AM A CALIFORNIA STATE PARAMEDIC AND THE N A C L IS THE CHEMICAL NAME FOR SODIUM CHLORIDE (IV SOLUTION) AND THE B L S IS BASIC LIFE SUPPORT,2,"Gang, Drugs, and Street Culture"
BIGGBLU,VAN IS THE COLOR BLUE,1,Edgy Humor and Random Slang
2OH9 GTO,209 AREA CODE. PONTIAC GTO FROM THE 209 AREA CODE,4,Regional Pride and Area Codes
IJNIP,IN JESUS NAME I PRAY.,0,Vehicle Descriptions and Colors
OMGXWTF,WHAT THE FUCK,3,Explicit and Vulgar Language
GTWBALZ,MUSTANG GT WITH AFTERMARKET POWER MODIFICATIONS,1,Edgy Humor and Random Slang
EY VATO,HEY BUDDY in Spanish,2,"Gang, Drugs, and Street Culture"
BLOWWWN,VEHICLE IS A HELLCAT WITH A SUPERCHARGED (OR BLOWN) ENGINE.,0,Vehicle Descriptions and Colors
BLUPHX,BLUE PHOENIX TO RISE FROM THE ASHES,0,Vehicle Descriptions and Colors
WREATER,IT MEANS I COMPEAT WITH WIDE RECEIVERS ON THE FOOTBALL FIELD,2,"Gang, Drugs, and Street Culture"
2NDN8TR,SECOND NATURE- MY BUSINESS NAME,6,Personal Names and Sentiments
BLQXTC,ECSTASY IS A DRUG REFERENCE,2,"Gang, Drugs, and Street Culture"
HELLC16,HELLCAT 2016 NAME OF THE DODGE CHALLENGER CAR MODEL,0,Vehicle Descriptions and Colors
PB1O 51O,PUNJA 510,0,Vehicle Descriptions and Colors
KING BRA,ITS A 2014 SHELBY COBRA AND IT IS KING.,1,Edgy Humor and Random Slang
BLKSKAT,COLOR AND MODEL OF VEHICLE,1,Edgy Humor and Random Slang
FK TRUMP,FUCK TRUMP,3,Explicit and Vulgar Language
BLCK BST,BLACK BEAST FOR BLACK DODGE CHALLENGER HAS A 2013 DODGE CP ON ANI,1,Edgy Humor and Random Slang
R8DER88,IMA RAIDER FAN AND I WAS BORN ON 1988,0,Vehicle Descriptions and Colors
DRV PINK,DRIVE PINK = SUPPORTING BREAST CANCER RESEARCH,0,Vehicle Descriptions and Colors
SLM O916,INITIALS AND B IRTHDAY ,6,Personal Names and Sentiments
GUNSTOR,I OWN TWO GUN STORES GUN STORE,0,Vehicle Descriptions and Colors
911 JUMP,EMERGENCY JUMPSTART,0,Vehicle Descriptions and Colors
TPOTKID,"TEA POT KID, MY DADS NICKNAME AND WE INHERITED HIS CAR",1,Edgy Humor and Random Slang
FLAT SEX,REFERS TO THE SPECIAL FLAT 6 NORMALLY ASPIRATED ENGINE WHICH IS IN THE CAR,1,Edgy Humor and Random Slang
BLKBEZY,"BLACK FOR BLACK CAR, BEEZY NICKNAME",1,Edgy Humor and Random Slang
STANKEE,(VEHICLE) IT STINKS,1,Edgy Humor and Random Slang
L A BUMZ,an insult… but has been out spelled with an s since 1984,2,"Gang, Drugs, and Street Culture"
MY 1 TACO,MY FIRST TACOMA. TACO IS SHORT FOR TACOMA (TOYOTA TRUCK),0,Vehicle Descriptions and Colors
R1O2712,BIRTH DATE,6,Personal Names and Sentiments
515OR8,OAKLAND RAIDERS FAN NICKNAME,0,Vehicle Descriptions and Colors
KHACH$U,MEMORIAL FOR MY OLDER BROTHER WHO PASSED AWAY,0,Vehicle Descriptions and Colors
IRINA D,WIFES NAME,6,Personal Names and Sentiments
OO7S911,JAMES BOND CAR,0,Vehicle Descriptions and Colors
3OH XHT,30 IS MY FAVORITE NUMBER. H IS MY LOVERS INTIAL. X FOR KISS. HT IS MY INITIALS,6,Personal Names and Sentiments
PAPO,SPANISH SLANG FOR VAGINA,2,"Gang, Drugs, and Street Culture"
GRVSEND,GRAVES END AN AREA OF BROOKLYN NY,0,Vehicle Descriptions and Colors
GTOKEEF,KEITHS GTO,0,Vehicle Descriptions and Colors
MAS TACO,TACOMAS IN RANDOM SEQUENCE,1,Edgy Humor and Random Slang
415 JEEP,POLICE CODE FOR DISTURBANCE AND MAKE OF VEHICLE,0,Vehicle Descriptions and Colors
82 WPB,WE PULL BITCHES. THIS IS A VETERAN AUTO PLATE,0,Vehicle Descriptions and Colors
8O5BUMN,(805) AREA CODE IN SANTA BARBARA (BUMN) BEING A BUM ON THE BEACH,4,Regional Pride and Area Codes
BLU7PRL,SPIRITUAL WISDOM BLUE ,0,Vehicle Descriptions and Colors
LT HOE,HOE-WHORE,0,Vehicle Descriptions and Colors
SAVG TRD,SAVAGE TOYOTA RACING DEVELOPMENT,1,Edgy Humor and Random Slang
NR & OG,NO REGRETS ORIGINAL MEMBER. ITS A CAR CLUB.,1,Edgy Humor and Random Slang
GRINNY G,I GRIN A LOT,0,Vehicle Descriptions and Colors
SXYLITB,"THE B MOST LIKELY STANDS FOR BITCH, SEXY LIT BITCH",0,Vehicle Descriptions and Colors
KRAPF,FAMILY NAME,6,Personal Names and Sentiments
IIDH8TO,INDUSTRIAL INJECTION DIESEL HOUSTON,2,"Gang, Drugs, and Street Culture"
2JS OSHT,FUNNY QUOTE FROM THE MOVIE FAST AND  FURIOUS,1,Edgy Humor and Random Slang
PC PUMPN,PUMPIN IS A SEXUAL REFERENCE,5,Sexual References
PEW X2,PEW PEW WAS TAKEN. ITS A FUNNY WAY OF SAYING TARGET PRACTICE FOR VETERA,0,Vehicle Descriptions and Colors
TMGLIFE,TMG = TAKE MANS GASH (GIRL),0,Vehicle Descriptions and Colors
GUN1NER,MOTORCYCLE MODEL,1,Edgy Humor and Random Slang
MO THUGZ,HIGH SCHOOL NICKNAME,6,Personal Names and Sentiments
RAPT KLR,VEHICLE HAS A VINYL BODY WRAP AND ITS FAST SO ITS A KLR RIDE,1,Edgy Humor and Random Slang
2F4 PLAY,TO FORPLAY SEXUAL REFERENCE,5,Sexual References
FKNJAYY,FUCKING JAY,3,Explicit and Vulgar Language
HNC 72,"URBAN DICTIONARY SAYS HNC=HNIC, AN ACRONYM CONTAINING THE N WORD. 72=THE YEAR SHE WAS BORN",0,Vehicle Descriptions and Colors
NISMO J,NISMO IS THE TYPE OF NISSAN JUKE I OWN AND J IS FOR MY FOR FIRST NAME,1,Edgy Humor and Random Slang
SD14,WIFES INITIALS AND MY SONS DATE OF BIRTH,6,Personal Names and Sentiments
PUFF N1,PUFF IS FOR PUFIN WHICH IS A BIRD. N MEANS IN. 1 AS IN GOLF HOLE IN ONE,0,Vehicle Descriptions and Colors
B 7 KY,7 IS MY FAVORITE NUMBER AND KY IS WHAT PEOPLE CALL ME,6,Personal Names and Sentiments
GDELEON,OWNERS NAME,6,Personal Names and Sentiments
MAMRED,LOVE MOM RED,1,Edgy Humor and Random Slang
QUIK II,THE CAR IS A CHEVY II (CHEVY 2) AND IT IS VERY QUICK,1,Edgy Humor and Random Slang
GRDEAD,ABBREVIATION FOR MY FAVORITE BAND THE GRATEFUL DEAD,0,Vehicle Descriptions and Colors
PANDA13,PANDA THE ANIMAL AND GRADUATION YEAR,0,Vehicle Descriptions and Colors
GOTAB18,A SPECIFIC TYPE OF HONDA MOTOR. A B18 IS A  MOTOR IN THE SPECIFIC BSERIES CLASS OF  HONDA,1,Edgy Humor and Random Slang
CATNI,MY WIFE AND I,6,Personal Names and Sentiments
JAPXCN,JAPANESE MEXICAN,2,"Gang, Drugs, and Street Culture"
D#KIKE,D FOR THE FIRST LETTER OF MY DAUGHTERS NAME AND DANIELA. KIKE IS FOR NICKNAME FOR MY SON ENRIQUE KIKE IS RACIST SLANG TOWARDS JEWISH PEOPLE.,6,Personal Names and Sentiments
GOBLU23,UNIVERSITY OF MICHIGAN BAND SONG LETS GO BLUE 23 IS MY FAVORITE NUMBER,6,Personal Names and Sentiments
OGDUZIT,NICKNAME,6,Personal Names and Sentiments
O9WOODY,CAR IS 2009 FORD FLEX WITH A FAKE WOODY  PAINT JOB,1,Edgy Humor and Random Slang
18HD BYZ,18-HITLER,0,Vehicle Descriptions and Colors
AOB 4ME,All of Books 4 Me To Read,0,Vehicle Descriptions and Colors
JIVECAT,COOL GUY,0,Vehicle Descriptions and Colors
AHHDAMN,JUST MY EVERYDAY EXPRESSION EVERYTIME I SEE AN AWESOME OR FUNNY STUFF I TEND TO SAY OHH DAMN. THANK YOU!,0,Vehicle Descriptions and Colors
GT 5O CS,2011 MUSTANG GT CALIFORNIA SPECIAL,1,Edgy Humor and Random Slang
1BLKBOX,ONE BLACK vagina  bad words,0,Vehicle Descriptions and Colors
TNT12B,TNT12B,0,Vehicle Descriptions and Colors
69  VA,"69, no 1969 car on ani",1,Edgy Humor and Random Slang
2REDRUM,MURDER,0,Vehicle Descriptions and Colors
VRGON,NAME,6,Personal Names and Sentiments
KATITUD,"ATTITUDE, CATTITUDE. WILL BE ON A JAGUAR.",1,Edgy Humor and Random Slang
TLB8888,TLB IS MY NAME . NUMBER 8 IS LUCKY NUMBER.,6,Personal Names and Sentiments
L9NEGRA,MY TRUCK IS ALL BLACK SO I CALL HER LA NEGRA. ITS A SPANISH MEANING FOR A BLACK TRUCK,1,Edgy Humor and Random Slang
U2RNEXT,THREATENING? YOU TOO ARE NEXT,0,Vehicle Descriptions and Colors
CRXXXAL,"CRYSTAL, A GIRLS NAME. WITH THREE X IN PLACE OF Y, S AND T.",6,Personal Names and Sentiments
