plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
OSHOEYO,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4N8DSK8,4 nated skate,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EVCTFAT,"EVICT YOUR FAT. CHANGING MY PERSPECTIVE TO BE MORE POSITIVE. FOCUS, AQUIRE, TRANSFORM",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KRACKN1,MAKING LIFE HAPPEN (GET CRACKN),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CRISISS,MY WIFE IS CALLING THIS CAR MY MID LIFE CRISIS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
FUZZZZZ,MY NICK NAME IS FUZY,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1BEAN8O,NICKNAME AND BIRTH YEAR,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
18 HOLZ,I'M AN AVID GOLFER; THERE ARE 18 HOLES TO PLAY IN A GOLF ROUND. THANKS!,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
24ME14U,TWO FOR ME ONE FOR YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DUBTEE,"""ABBREVIATION"" FOR MY INITIALS - W T",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
JOEBLUE,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JOKER2U,I LIKE TO JOKE AROUND WITH YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LVMI3GS,LOVE MY 3 GIRLS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MRGATO,"GATO IS CAT IN SPANISH, SEXUAL REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
RBLSGUM,"A HUMOROUS STAR WARS REFERENCE - HAN SOLO IS CALLED ""REBEL SCUM"" IN RETURN OF THE JEDI -- (AND MY NAME STARTS WITH A G)",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
URPWRFL,YOU ARE POWERFUL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1386,REPRESENTS HAPPY LIFE IN CHINESE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BONIT1,MY GOD DAUGHTER,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HCVAPE,"VAPE, DRUG REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WALNUTC,"NUT, SEXUAL REFERENCE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
2BEACHS,GOING TO THE BEACH,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FLYERFN,PHILIDELPHIA FLYERS FAN.  THE HOCKEY TEAM. :),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
JMUSKY,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KCKROCK,KICK ROCKS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
MAC7MAN,MY NAME IS MAC. WANTED MACMAN OR MACAMAN BUT BOTH WERE TAKEN SO ILL USE A 7 IN THERE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MOBTFL3,MO IS FOR MONIQUE AND BTFL MEANS BEAUTIFUL,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
MUTTMBL,MUTT MOBILE,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
M143O,INITIALS AND BIRTHDAY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
SNODOGY,SNOW CAN BE ANOTHER WORD FOR COCAINE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TM66CAT,TOM'S 1966 CATALINA,Business and University Identities,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
922O7,DATE OF ANIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
81796,ANNIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ELM1428,FAVORITE CHILDHOOD MOVIE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YABURNT,YOU ARE A BURNT CHARACTER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IAPRUVU,I AM A LOAN OFFICER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AMO ADAN,IT MEANS 'I LOVE ADAN' IN SPANISH.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BLRDUP,OWNER IS A MARTIAL ARTS PRACTIONER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BUNKYO,"WARD OF TOKYO JAPAN, ONE OF MY FAVORITE CITIES WHILE VISITING",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DAMOE,COMPANY NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DARM 16,NAME AND LUCKY NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DCKOMIX,I REALLY LOVE READING DC COMICS SO I WANTED TO GET SOMETHING THAT IM PASSIONATE ABOUT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DIRTDMN,DIRT DEMON,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
FSTSHKR,CHALLENGER IS SHAKER MODEL,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
HOOHOSS,"MY TRUCK'S NAME IS HOSS AND I FOUND HIM AT HARVEST AUTO & MACHINERY IN WAHOO, NEBRASKA. TRUE STORY!",Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
ILV MARE,"I LOVE MY WIFE, MARILYN=",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IN666US,WEDDING ANNIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KIKNROK,KICK ROCKS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
KY GIRL,I AM A KENTUCKY NATIVE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LLLBOOM,LORI LYNN LAVOIE BOOM HERE I AM.),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NVHO7GG,NAME OF INITIALS AMD FAVORITE NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
POWDERS,GOD WORK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
PURE FN,MY COMPANY NAME IS PURE FINANCIAL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PURE LVN,PURE LIVING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
SBUTMTY,SMALL BUT MIGHTY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MY BLU1,MY BLUE ONE,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BLUVED,BELOVED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LUCH BK,NAME & BIRTH PLACE.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
LYV FISH,"THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
B CHEEE,"IT SOUNDS LIKE ""BEACHY""",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GWT OPC,god we trust others pay cash,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TRAWW,name,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BRNHLD,short for brunhilde name of the bike,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
HELNHOG,helens harly davidson,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
RIK$KAT,richard loves kathleen,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
CBT VT,combat vet,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
FYRWOK,fire walker,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BOONZ,nickname,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ARDY CAT,nickname,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BEEM UP,BEAM ME UP STAR TREK TV SHOW TRANSPORTER COMMAND TO BEAM SOMEONE UP TO THE STARSHIP,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
BIGCAT 3,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DMNWTHN,THE MAN WITHIN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DPLRBLE,DEPLORABLE,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
IM2FAT,REPRESENTING MY WEIGHT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LH8,CHINESE FOR GOOD LUCK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1SLWCAT,HAVE A NICE DAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MDK1111,NEW INITIALS FOR ME WHEN I GET MARRIED IN THREE WEEKS AND OUR WEDDING DATE,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MFG REP,MANUFACTURER REPRESENTATIVE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
CWO131O,RANK AND JOB DESCRIPTION,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DEESVGE,DEE SAVAGE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
ENROD,MY NAME.,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IKDUTCH,I AM DUTCH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PEPE7O,PEPE CAN BE A WORD FOR PENIS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REDOCRN,REYDANTE DOCTOR REGISTERED NURSE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IMAFARY,I BELONG TO A NONPROFIT AGENCY CALLED THE SUGAR PLUMP FAIRIES THAT RAISES MONEY FOR CHILDREN IN THE ARTS.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NETHG4U,ANYTHING FOR YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
L GUACHO,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FAAAAAT,USED TO BE FAT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
G2 BLAST,GOTTA BLAST PHRASE FROM JIMMY NEUTRON CARTOON,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MONDRAG,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
46NTOOL,BAND NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HOABNRA,"PEACE OUT"" IN VIETNAMESE LANGUAGE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ODDCATT,MY NAME WITH LETTERS SWITCHED. ALSO MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUE KRU,DODGERS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BSSHEAD,A BASSHEAD IS SOMEONE WHO LOVES BASS MUSIC,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DIRTDV4,IM A SOIL INSPECTOR,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GOT WRK,IT'S MY SOFTBALL TEAM NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HI Y N,HAWAIIAN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
INKY1OG,SHORT FOR LAICHA,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
LIV 4 HNT,LIVE 4 THE HUNT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
RUN KAT,KATHY IS A RUNNER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SOY MICH,PLACE I BORN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
TAPOUT1,SYMBOLIZES NEVER TAPOUT IN LIFE.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
THKNFCY,THICK AND FANCY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
VIII8XV,WEDDING DATE 08/08/15,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YES LOVD,YES LOVED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MIS$PCH,MISS PEACH - MY NICKNAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GYN DOK,DOCTOR OF GYNECOLOGY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4HYLAND,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PNUTTY,PEANUTTY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
AHIVOY,THERE I GO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CAWCAWW,SOUND A CROW MAKES,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
COCONTS,COCONUTS - I OWN A COCONUT MANUFACTURING COMPANY THAT MAKES COCONUT PRODUCTS.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
CSC8118,CHIEN-SHENG CHOU AND PERSONAL LUCKY NUMBERS,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HNT4DNR,A REGOGNITION OF THE SPORT OF BOW HUNTING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JLAW,JONATHAN LAWRENCE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
JUZTJO,NAME IS NOT JOAN JOANNE ETC,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MUTTROD,HOT ROD WITH MANY DIFFERENT MAKES OF PARTS,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUSPOT,LAKE TAHOE IS A BEAUTIFUL BLUE SPOT ON  PLANET EARTH. BLUE WATER BELOW AND  BLUE SKY ABOVE.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
HUGS4J,I WANTED TO PUT JESUS HUGS YOUR WAY SO INSTEAD I AM SAYING HUGS FOR JESUS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WRK2HNT,WORK TO HUNT,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Pet and Animal Themes,Diverse Personal Expressions
5OACRES,50 ACRES OF LAND,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
MEYOU,MY WIFE AND I,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BNHUNTN,BEEN HUNTING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
CBTREE,CHRIS BLAIR TREE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
IDKYOU,IT MEANS I DONT KNOW YOU. I THOUGHT IT LOOKED COOL.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
XTIEFTR,STARWARS REFERENCE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YABUD,A POSITIVE GREETING WHEN YOU DON'T KNOW SOMEONE'S NAME.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YIQI666,MY GIRLFRIEND'S NAME,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
81965,AUGUST 1965 IS WHEN WE WERE MARRIED,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BRNGBLU,NAME OF ONE OF MY FILMS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DUB2SFO,MY HUSBAND HAS MOVED FROM DUBLIN (DUB) IRELAND TO (2) SAN FRANCISCO (SFO) SO WE CAN LIVE TOGETHER.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUFEET,IT IS THE NAME OF MY BLOG WHICH IS ALL ABOUT OCEAN AWARENESS. WWW.BLU-FEET.COM,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ACMPLCE,ACCOMPLICE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DODO BBY,"JUST DO IT, IN A MOTIVATING WAY.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
G MGMMCF,INITIALS,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LOVMCHN,LOVE MACHINE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
TAL2313,NAME AND FAVORITE NUMBERS,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TPLS4ME,CONVERTIBLE I HAVE ALWAYS DREAMED OF,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
2LVNDIE,JUST A PHRASE FROM A MOVIE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JRK,INITIALS,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CRIMINO,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
C13M91K,"MY INITIALS, FAVORITE NUMBER AND BIRTH YEAR.",Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
DSPICBL,DISPICABLE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DVL LADY,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HENIOSA,BAD TEMPER. GRUMPY,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
RAGNARK,"SHORTER VERSION OF ""RAGNAROK."" RAGNAROK IS THE VIKING END OF THE WORLD SIMILAR TO CHRISTIAN END OF TIMES.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
3PNKALE,THREE PUNK ALES NICKNAME FOR MY BOYFRIEND,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
666SCLA,BIRTH CITY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
7OTIME7,IN THE BIBLE PETER ASKED JESUS HOW MANY TIMES ARE YOU SUPPOSE TO FORGIVE AND JESUS ANSWERED 70 TIMES 7,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AFROPUF,HAIR,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GAVONE,MEANS A GUY WITH A GOOD APPETITE IN ITALIAN.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
INNER G,ENERGI,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
STROSHO,MY BLOG NAME MASTRO SHOW,Personal and Family names,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
VRGON,NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YOU2LOW,YOU TO LOW,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
9ERS FOO,IM A 49ERS FAN. JUST SHOWING MY TEAM SOME LOVE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MTTL GOD,NOT SURE WHAT MTTL MEANS,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SMAFE 2,MUSEUMS ARE FOR EVERYONE 2,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BOONDY,HOW A GODSON PRONOUNCES THE NAME WENDY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
