plate,customer_meaning,cluster_label,cluster_meaning
IBLDBLW,"I BLEED BLUE, AS IN A DODGER FAN",7,Colors and Descriptive Traits
MOJO VAN,MY NICKNAME,0,Personal and Family names
RJ WOOD,RJ WOOD,1,Business and University Identities
TOBYCAT,CAT,6,Pet and Animal Themes
1BADZF1,JAPANESE CODE NAME,3,Diverse Personal Expressions
2BOM1WO,2010 BMW,2,Vehicle and Car Descriptions and Attributes
8O H O8,80=MY UNCLE 08 MY GRANDSON H IS FOR NAME,4,Area code and Numbers
CTCM13,CECCHINI TRUCKING MINUS 13,1,Business and University Identities
CTCM14,CECCHINI TRUCKING MINUS 14,1,Business and University Identities
DRGN BAL,DRAGON BALL,1,Business and University Identities
ALKATX,"IN MY MOTHER LANGUAGE ""ALKAT"" IS MY NAME.",3,Diverse Personal Expressions
ARCHRER,I LIKE ARCHERY.,3,Diverse Personal Expressions
BEEBAD,BE BAD...BEE FOR BUMBLE BEE,3,Diverse Personal Expressions
BJ65SS,BILLIE JO'S 1965 CHEVY SUPER SPORT,2,Vehicle and Car Descriptions and Attributes
BRNCZLA,"BRONCZILLA, ITS A COMBINATION OF BRONCO  AND GODZILLA",3,Diverse Personal Expressions
BRNDAG,SHORT FOR BRENDA GRIFFITH,3,Diverse Personal Expressions
DANNNG,LAST NAME,0,Personal and Family names
DMNTED,DEMENTED ADJECTIVE FOR CRAZY NICE SHOW TRUCK,2,Vehicle and Car Descriptions and Attributes
DOHNUTZ,I LIKE DONUTS. AND IT'S A HOMER SIMPSON  REFERENCE.,3,Diverse Personal Expressions
DUBAGNT,"I'M A WARRIOR FAN, NICKNAME THE DUBS. I'M  ALSO A REAL ESTATE AGENT.",1,Business and University Identities
ELJUMBO,ITS A BIG CAR LIKE JUMBO THE ELEPHANT,2,Vehicle and Car Descriptions and Attributes
FATMAC5,NICK NAME,0,Personal and Family names
FITLINE,"SIMILAR TO FAT LINE, COULD BE A DRUG REFERENCE",3,Diverse Personal Expressions
GAM114A,"14, GANG REFERENCE",5,Gang Color and Controversial Affiliations
GREBEL,"G IS FOR GERULA, REBEL IS THE MODEL OF RAM  TRUCK",2,Vehicle and Car Descriptions and Attributes
G1111,MY FIRST INITIAL AND 11:11 MEANS MAKE A WISH,1,Business and University Identities
HB2RIVR,HUNTINGTON BEACH TO THE RIVER,1,Business and University Identities
HEMPIT,"I HAVE A ECOMMERCE BUSINESS CALLED  HEMPITMANUSA.COM 100% PURE OILS, BALMS & SUNSCREENS",1,Business and University Identities
HIYAYA,HI GRANDMA,0,Personal and Family names
HOTROD3,THE REASON IM HOPING TO GET THIS  CUSTOMIZED PLATE IS BECAUSE ITS MY  NICKNAME. MY FRIENDS AND FAMILY CALL ME THAT. I THOUGHT ITD BE NEAT TO GET IT IN MY VEHICLE.,2,Vehicle and Car Descriptions and Attributes
ILOAN4U,LOAN OFFICER,1,Business and University Identities
IMLOCO,NO MEANING,3,Diverse Personal Expressions
JOCHOS,"JOCHOS IS ANOTHER WORD FOR HOTDOG OR WEINER, COULD BE SEXUAL",3,Diverse Personal Expressions
KLMNJRO,MOUNT KILIMANJARO IN EAST AFRICA. THE  ROOF OF AFRICA,1,Business and University Identities
KNURD,"NURD, OFFENSIVE",3,Diverse Personal Expressions
LUVDEE,LOVE DELAYNA,3,Diverse Personal Expressions
LUVLTHO,LOVE LAKE TAHOE,1,Business and University Identities
LYFCOCH,IM A CERTIFIED LIFE COACH THAT WORKS WITH  VETERANS DEALING WITH PTSD AND SUICIDE,1,Business and University Identities
MD666,LUCKY,1,Business and University Identities
MR4SPD,MR 4 SPEED TRANS,1,Business and University Identities
RDKNIGT,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
SWTWAGN,SWEET WAGON,2,Vehicle and Car Descriptions and Attributes
1962S88,MODEL YEAR- 1962; MAKE OLDSMOBILE; MODEL  NAME - SUPER-88.,2,Vehicle and Car Descriptions and Attributes
1969LS7,1969 CHEVELLE WITH LS7 ENGINE,2,Vehicle and Car Descriptions and Attributes
3583,SPELLS DUKE ON A TELEPHONE DAIL PAD,3,Diverse Personal Expressions
66888,HAPPY AND RICH,3,Diverse Personal Expressions
86C4,1986 CORVETTE C4,2,Vehicle and Car Descriptions and Attributes
9598,ALL DIGITS,4,Area code and Numbers
DUCTALE,"TALE, SEXUAL REFERENCE",3,Diverse Personal Expressions
KFN8ME,CAFFEINATE ME - I DRINK A TON OF DIET COKE,3,Diverse Personal Expressions
ILUCYG,I LOVE LUCY GIRL,3,Diverse Personal Expressions
MUGSYD,MY WIFE'S NICKNAME FOR ME,3,Diverse Personal Expressions
TIFFCAT,MY NICKNAME,0,Personal and Family names
BABIBLU,COLOR OF CAR,7,Colors and Descriptive Traits
JTTANKR,"TANK, WEAPON REFERENCE",1,Business and University Identities
KABLUEY,ITS FOR A BLUE CAR,2,Vehicle and Car Descriptions and Attributes
REDZGTI,NICKNAME AND MODEL OF VEHICLE.,2,Vehicle and Car Descriptions and Attributes
GERICAT,NAME OF CAT THAT I OWN.,6,Pet and Animal Themes
WHLTAIL,"TAIL, ANOTHER WORD FOR ASS, SEXUAL REFERENCE",3,Diverse Personal Expressions
BCME MHR,HIGH SCHOOL INITIALS,3,Diverse Personal Expressions
BEIJO BB,MY ONLINE BIKINI STORE NAME,1,Business and University Identities
BLK323I,BLACK 323I BMW,2,Vehicle and Car Descriptions and Attributes
E ZILLA,ELECTRIC CAR HUNGRY FOR ELECTRICITY,2,Vehicle and Car Descriptions and Attributes
HOMBOYS,CLOSE FRIENDS,3,Diverse Personal Expressions
HOMBOYZ,FRIENDS AND CLOSE FAMILY,3,Diverse Personal Expressions
PHATMN1,FAMILY NICKNAME,0,Personal and Family names
18HR DYS,I WORK A LOT OF 18 HOUR DAYS IN THE FILM BUSINESS,1,Business and University Identities
ABLUBNZ,BLUE MERCEDES BENZ,2,Vehicle and Car Descriptions and Attributes
BCHBROD,BEACH BROAD. GROUP OF LADIES THAT WALKS THE BEACH!,1,Business and University Identities
BLU BLU,"DAVID BOWIE LYRIC, SONG ""SOUND AND VISION"" - BLUE BLUE ELECTRIC BLUE",3,Diverse Personal Expressions
JAMZ 69,MY INITIALS AND YEAR OF TRUCK,2,Vehicle and Car Descriptions and Attributes
L78 69,MODEL AND YEAR,2,Vehicle and Car Descriptions and Attributes
ZORRA 69,ITS A NICKNAME AND THE 69 IS THE YEAR OF THE CAR,4,Area code and Numbers
31HYBOY,1931 HIGH BOY ROADSTER,2,Vehicle and Car Descriptions and Attributes
22109 VS,No person shall stop or suddenly decrease the speed of a vehicle on a highway without first giving an appropriate signal in the,2,Vehicle and Car Descriptions and Attributes
REDSPD,MY CAR IS A RED MAZDASPEED 3,2,Vehicle and Car Descriptions and Attributes
W3H774M,"MATTHEW"" BACKWARDS",3,Diverse Personal Expressions
GOT KUSH,***THIS IS A DUPLICATE*** ONLY SAY NO IF YOU WANT TO DO A RECALL ON THIS. HAS BEEN OUT SINCE 2011. KUSH=WEED,3,Diverse Personal Expressions
LCONCHO,"""HOMETOWN""  (FROM ORIGINAL T00)",1,Business and University Identities
CIREZD,MUSIC RELATED,3,Diverse Personal Expressions
DMCS69,MY INITIALS AND THE YEAR OF MY CAR,2,Vehicle and Car Descriptions and Attributes
HNYBUNE,HONEY BUNNY,3,Diverse Personal Expressions
MTNRED1,MOUNTAIN RED TRUCK,2,Vehicle and Car Descriptions and Attributes
1969MC1,CAR IS MADE 1969 MUSTANG MACH 1,2,Vehicle and Car Descriptions and Attributes
69K5JB,IT GOES ON A 1969 K5 BLAZER AND MY INITIALS  ARE JB,2,Vehicle and Car Descriptions and Attributes
MNGRL,MINNESOTA GIRL,3,Diverse Personal Expressions
G WIZZ,G AS IN GANGSTER,5,Gang Color and Controversial Affiliations
MADFITT,OWNER'S BRAND NAME,1,Business and University Identities
SKARLTT,GRAND DAUGHTERS FIRST NAME SCARLETTE,0,Personal and Family names
CHOPER 8,COULD HAVE SEXUAL CONNOTATION,3,Diverse Personal Expressions
C MADBALL,MY NICK NAME,0,Personal and Family names
CRS WYF,CRAIG 'S WIFE,3,Diverse Personal Expressions
FLACOHP,PARENTS NICKNAME FOR ME AND THE H IS HERREJON AND P FOR PEREZ MY LAST NAMES,0,Personal and Family names
LHELYES,MY FIRST INITIAL AND LAST NAME,0,Personal and Family names
LYNN G,LYNN IS MY NICKNAME AND G IS FOR GRUNDY MY LAST NAME,0,Personal and Family names
MY1KITT,KNIGHT RIDER SHOW,2,Vehicle and Car Descriptions and Attributes
MY 69BOS,PULLED FOR 69,1,Business and University Identities
NA VAS,VEHICLE IS A 1969 NOVA. NO VAS MEANS DOES NOT GO IN SPANISH BUT ALSO SIGNIFIES CHEVY NOVA,2,Vehicle and Car Descriptions and Attributes
TAN CLAN,REPRESENTS FAMILY'S LAST NAME,0,Personal and Family names
THE4OH6,MONTANA AREA CODE,1,Business and University Identities
TONII,MY NAME,0,Personal and Family names
BLUBURD,BLUE BIRD,3,Diverse Personal Expressions
TURFRAT,NICKNAME,0,Personal and Family names
AKJMS16,"ANGELICA, KASSANDRA, JOSELYN, MELANIE SOTO",3,Diverse Personal Expressions
ANGY BEE,ANGY BEE FOR THE DODGE CHALANGER RUMBLE BEE TYPE,3,Diverse Personal Expressions
BG BODY,BG = BABY GANGSTER,5,Gang Color and Controversial Affiliations
BLAUALT,OLD BLUE,7,Colors and Descriptive Traits
BRRAP,"""BRAAAAAP"" AS IN THE SOUND OF AN ENGINE RUNNING",2,Vehicle and Car Descriptions and Attributes
CNCBOSS,COMPUTER PROGRAMING TERM,3,Diverse Personal Expressions
C R 45,BUSINESS NAME,1,Business and University Identities
DARK KAT,"MY CAR IS BLACK COLOR KAT IS LIKE A FELINE ,JAGUAR IS THE MODEL",2,Vehicle and Car Descriptions and Attributes
DIEEPIC,NAME OF FAV T-SHIRT BRAND,1,Business and University Identities
FCB MSN,FCB FUTBOL CLUB BARCELONA MSN MESSI SUAREZ NEYMAR,1,Business and University Identities
FIXXER,"A person who makes arrangements for people, especially illegally or deviously (URB DICTIONARY)",3,Diverse Personal Expressions
GEEZRR,OFFENSIVE?,3,Diverse Personal Expressions
GUMMER,MY FATHER,3,Diverse Personal Expressions
GUT73,OFFENSIVE?,3,Diverse Personal Expressions
HDL BOSS,HUSBANDS BUSSINES NAME IS HDL TRANSPORT AND BOSS FOR OWNER,3,Diverse Personal Expressions
HD TRNRZ,IT'S A REFERENCE TO THE CAR LOOKING SO NICE IT TURNS HEADS.,2,Vehicle and Car Descriptions and Attributes
HUMM H3,VEHICLE MODEL IS AN H3 HUMMER,2,Vehicle and Car Descriptions and Attributes
JUKIE,A PLAY ON THE CAR'S NAME-JUKE,2,Vehicle and Car Descriptions and Attributes
KIDTAXE,OFFENSIVE?,3,Diverse Personal Expressions
LAROOKA,OLDER LADY,0,Personal and Family names
LHEFE1,THE BOSS 1,3,Diverse Personal Expressions
LUVROCK,LOVE ROCK,3,Diverse Personal Expressions
MMEOWWW,CAT LOVER,6,Pet and Animal Themes
OO HAI,"OH, HELLO",3,Diverse Personal Expressions
PFFTGAS,NO TO GAS,3,Diverse Personal Expressions
RED DOG3,RED = GANG COLOR,5,Gang Color and Controversial Affiliations
SKI 45,45 MAGNUM,2,Vehicle and Car Descriptions and Attributes
SNSTER,"SINISTER, HOSTILE",3,Diverse Personal Expressions
SXE CBRA,SEXY COBRA,3,Diverse Personal Expressions
VAMPLFE,NIGHT LIFE PERSON,3,Diverse Personal Expressions
X HELL X,HELL,3,Diverse Personal Expressions
2OH6 PYT,SEATTLE GIRL,3,Diverse Personal Expressions
69ZOMBI,CAR MAKE AND MODEL,2,Vehicle and Car Descriptions and Attributes
BLU RYNO,BLUE 4WD VEHICLE,7,Colors and Descriptive Traits
ACOWTNT,ACCOUNTANT,1,Business and University Identities
KALIRED,"CALIFORNIA RED, RED CAR, RED HAIR",7,Colors and Descriptive Traits
ZOQUETE,FILTHY IN AZTEC,3,Diverse Personal Expressions
BLEUUU,"COLOR OF CAR IS ESTORIL BLUE, THE PLATE IS A  PLAY ON WORDS USING THE SPELLING OF BLEU.",7,Colors and Descriptive Traits
BLUE34O,BLUE BMW 340,2,Vehicle and Car Descriptions and Attributes
BLUTBRD,BLUE THUNDERBIRD (FORD),2,Vehicle and Car Descriptions and Attributes
BLUUZV8,MY CAR IS BLUE AND HAS A V8 ENGINE,7,Colors and Descriptive Traits
DODGEDU,"THE CARS IS A DODGE CHARGER, PLATES RELATE  TO THE CARS NAME.",2,Vehicle and Car Descriptions and Attributes
DUKHUNR,DUCK HUNTER,3,Diverse Personal Expressions
EVLJKU,"EVL FOR EVIL, JKU IS THE MODEL OF MY JEEP.",2,Vehicle and Car Descriptions and Attributes
EVLSPWN,CHILD'S NICKNAME,0,Personal and Family names
FSHUNTN,MY HUSBAND AND SON LIKE HUNTING,3,Diverse Personal Expressions
FTCOBRA,FORD TORINO COBRA -CAR DESCRIPTION,2,Vehicle and Car Descriptions and Attributes
FUUFTRZ,FOO FIGHTERS WIFE'S FAVORITE BANDS NAME,3,Diverse Personal Expressions
HIDAVE,"MY NAME IS DAVID MY WIFES GRANDMA SAYS  ""HI DAVE"" EVERY MORNING SO I AM GETTING THIS.",0,Personal and Family names
HI5NCMB,HIGH 5 NORTHERN CALIFORNIA MOTOR BOATERS,3,Diverse Personal Expressions
HRDTM69,HARD TIMES,3,Diverse Personal Expressions
HWYRCKT,HIGHWAY ROCKET,2,Vehicle and Car Descriptions and Attributes
HYRHELZ,HIGH HEELS,3,Diverse Personal Expressions
IAMO515,I AM CRAZY. ...BACKWARDS. ..,3,Diverse Personal Expressions
ISHYOUZ,ISSUES,1,Business and University Identities
JEFFCAT,NAME,0,Personal and Family names
JEZUS4U,JESUS FOR YOU,3,Diverse Personal Expressions
JR14GMC,MY NAME AND YEAR OF VEHICLE,2,Vehicle and Car Descriptions and Attributes
LILRHD,LITTLE RED,7,Colors and Descriptive Traits
MAT5FDP,"NAME MATT AND FAVORITE BAND NAME ""5FDP""",3,Diverse Personal Expressions
MOPARHI,TYPE OF CAR THAT MAKES ME HAPPY.,2,Vehicle and Car Descriptions and Attributes
MYHIBOY,MY 1932 FORD HIGHBOY,2,Vehicle and Car Descriptions and Attributes
MZGRTT,THE PLATE IS AN ACRONYM FOR MEZGER TWIN  TURBO. MEZGER WAS THE ENGINE DESIGNER.,2,Vehicle and Car Descriptions and Attributes
NOMASG,NO MORE GAS,3,Diverse Personal Expressions
NOMEOW,"DODGE CHALLENGER; NOT A HELLCAT, SO  LETTING PEOPLE KNOW ITS NOT A CAT",2,Vehicle and Car Descriptions and Attributes
NSEXY,NSX PLATES,2,Vehicle and Car Descriptions and Attributes
RDUB59,NICK NAME,0,Personal and Family names
RDWNGUG,RDWNG IS FOR DETROIT RED WINGS HOCKEY  TEAMUG FOR MY INITIALS,3,Diverse Personal Expressions
REDIRNT,READY OR NOT,3,Diverse Personal Expressions
REDROV,RED ROVER,2,Vehicle and Car Descriptions and Attributes
RUBLUE,BLUE TRUCK OLD SONG,2,Vehicle and Car Descriptions and Attributes
RUNVPR,ITS MY ULTRAMARATHON NICKNAME WHEN IM  RUNNING LONG DISTANCE RACES.,0,Personal and Family names
SEXYDVL,"SEXY DEVIL (FOR A DIABLO, WHICH MEANS DEVIL IN ITALIAN)",3,Diverse Personal Expressions
SEXYUR,SEXY NEW CAR FOR ME.,2,Vehicle and Car Descriptions and Attributes
SMKGTIR,SMOKING TIRE,3,Diverse Personal Expressions
SNERD,SUPER NERD!,3,Diverse Personal Expressions
SUICSQD,THE MOVIE SUICIDE SQUAD,3,Diverse Personal Expressions
SXYHEMI,SEXY HEMI,3,Diverse Personal Expressions
SXYSKAR,"CHEVY CAMARO SS- WE NAMED HER ""SCARLET"" SO THE PLATE IS SEXY SCARLET",3,Diverse Personal Expressions
1FRLCAT,THE FERAL CAT IS A CAT THAT HAS BEEN BORN INTO WILDNESS OR HAS NOT HAD HUMAN INTERACTION FOR A SIGNIFICANT PERIOD OF TIME AND IS SELF-SUFFICIENT. THIS IS ONE FERAL CAT.,6,Pet and Animal Themes
1HUMMER,ONE HUMMER,2,Vehicle and Car Descriptions and Attributes
11391,MY COMPAMNY NUMBER,1,Business and University Identities
1969EVA,WIFE BIRTHDAY AND YEAR OF CAR,4,Area code and Numbers
2K14SS,THE CAR IS A 2014 CAMARO SS,2,Vehicle and Car Descriptions and Attributes
5DOTO,5 DOT O MEANS THE CARS ENGINE SIZE 5.0. 5.0  MUSTANG,2,Vehicle and Car Descriptions and Attributes
5OV8KID,THIS PLATE WILL GO ON MY 1950 V8 FORD,2,Vehicle and Car Descriptions and Attributes
69CAD,1969 CADILLAC,2,Vehicle and Car Descriptions and Attributes
69TRINO,1969 FORD TORINO GT FASTBACK,2,Vehicle and Car Descriptions and Attributes
8T8KEYS,I PLAY THE PIANO,3,Diverse Personal Expressions
ANAJ,MY FIRST NAME IS ANA AND J IS FOR JACK,0,Personal and Family names
MYCAAT,LOVE MY CAT,6,Pet and Animal Themes
HUZRGL,HOOSIER GIRL (GIRL FROM INDIANA),3,Diverse Personal Expressions
POPOKI,"""POPOKI"" IS ""CAT"" IN HAWAIIAN",3,Diverse Personal Expressions
4WBLUE,THIS IS THE MODEL AND COLOR OF OUR BOAT,2,Vehicle and Car Descriptions and Attributes
JOSCAT,JOE'S DODGE HELLCAT,2,Vehicle and Car Descriptions and Attributes
BADRED,NICE RED COLOR,7,Colors and Descriptive Traits
ARCHR21,SAGITTARIUS,4,Area code and Numbers
BLUSSKY,THE SKY IS BLUE,7,Colors and Descriptive Traits
CATMEOW,THE CATS MEOW,6,Pet and Animal Themes
CINDORK,CHILDHOOD NICKNAME,0,Personal and Family names
DGR515O,MY INITIALS AND PERSONALITY,0,Personal and Family names
EVILWAZ,SANTANA SONG TITLE,3,Diverse Personal Expressions
HVABALL,HAVE A BALL,3,Diverse Personal Expressions
SWTSAVG,SWEET SAVAGE A BAND FROM 80'S,3,Diverse Personal Expressions
ZIYOU,IT IS THE PHONETIC SPELLING OF THE CHINESE  WORD MEANING FREEDOM.,3,Diverse Personal Expressions
32815,WEDDING ANNIVERSARY,4,Area code and Numbers
LBBLUE,LONG BEACH BLUE,7,Colors and Descriptive Traits
17BLUC7,2017 BLUE C7,7,Colors and Descriptive Traits
4BECHRD,FOUR BEACH ROAD,1,Business and University Identities
BOOGGR,"BOOGER, REPULSIVE",3,Diverse Personal Expressions
LLT14,COMPANY NAME,1,Business and University Identities
1CHR3LR,CHRYSLER,2,Vehicle and Car Descriptions and Attributes
3TAB,"FIRST INITIALS OF HUSBAND, WIFE, DAUGHTER. FAMILY INITIALS",0,Personal and Family names
REDSO5,NICKNAME AND YEAR OF BIKE,2,Vehicle and Car Descriptions and Attributes
AGUACA T,AVOCADO,3,Diverse Personal Expressions
AZNBHEB,instead of babe (BHEB) instead of Asian (AZN),3,Diverse Personal Expressions
BEAR666,BEAR IS MY NICKNAME. AND 666 IS FOR BAD AND I LIKE THE PLAY ON SUPERSTITIONS.,4,Area code and Numbers
BRD HNTR,MY FAMILY AND I ARE AVID BIRD HUNTERS IN CALFIORNIA WITH OUR CAMERAS.,1,Business and University Identities
CATCAT7,"CATCAT WAS MY NICKNAME FROM MY CHILDHOOD DAYS, AND 7 IS MY LUCKY NUMBER.",4,Area code and Numbers
CATVIBE,CATHERINE VIBERT,3,Diverse Personal Expressions
COLDFRT,COLD FRONT,1,Business and University Identities
D A N M,MY FULL NAME AND LAST NAME INITIAL,0,Personal and Family names
DRAG CAT,DODGE HELLCAT,2,Vehicle and Car Descriptions and Attributes
ESKLAID,IT MEANS ESCALADE IN DIFERENT WORDS,3,Diverse Personal Expressions
FIVE 2O,BADGE NUMBER,1,Business and University Identities
JOYOFOG,JOF OF FOG - HAPPY TO LIVE IN SAN FRANSCISCO,1,Business and University Identities
KAT O1,MY NICKNAME,0,Personal and Family names
KATSPNY,KATHEE MUSTANG,2,Vehicle and Car Descriptions and Attributes
L8R NRD,"SEEYA LATER NERD, SAYING AMONG FRIENDS",3,Diverse Personal Expressions
NAMTAC,CATMAN (SPELLED BACKWARDS),6,Pet and Animal Themes
RD REBEL,ROAD REBEL,2,Vehicle and Car Descriptions and Attributes
SL13ED1,MERCEDES BENZ SL 550 EDITION ONE,2,Vehicle and Car Descriptions and Attributes
SXIERRA,"SX STAND'S FOR SUPER CROSS MOTORCYCLE RACING, AND THE VEHICLE IS A GMC SIERRA THAT HAULS RACING MOTORCYCLES",2,Vehicle and Car Descriptions and Attributes
WHTDV 7O,PALOMA BLANCA 70,3,Diverse Personal Expressions
WILYKAT,"WILYKAT IS A CHARACTER FROM THUNDERCATS CARTOON, PLATE WILL GO ON 2017 HELLCAT",2,Vehicle and Car Descriptions and Attributes
WUTANNG,ITS A GROUP OF TALENTED MUSIC ARTISTS BACK IN THE EARLY 90'S. MY FAVORITE GROUP.,3,Diverse Personal Expressions
1969ERS,VEHICLE IS A 1969 MODEL,2,Vehicle and Car Descriptions and Attributes
BLUTREK,I LOVE THE COLOR BLUE AND I AM AN OUTDOORSY TYPE,7,Colors and Descriptive Traits
GGZBLUE,SIMILAR TO MEXICAN PLATES,2,Vehicle and Car Descriptions and Attributes
HQ FPTT,"HEADQUARTERS OF FEDERAL POLICE TRANSITION TEAM, THE LAST UNIT I SERVED WITH OVERSEAS IN IRAQ 2009-2010",1,Business and University Identities
RDJPCHC,RED JEEP CHIC. MY JEEP IS SOLID RED. I AM FEMALE.,2,Vehicle and Car Descriptions and Attributes
1PDQGTS,1 pretty darn quick grand touring sport,3,Diverse Personal Expressions
GD NEWZ,THE GOOD NEWS!,1,Business and University Identities
KIC ROCZ,IT'S GOING TO BE THE NAME OF OUR SOON TO BE BAND. KICK'N IT ROCKZ,3,Diverse Personal Expressions
K5T4 BJ9,K5 FOR ME 4T FOR MY WIFE BJ9 IS FOR MY KIDS,1,Business and University Identities
VWPH8TN,BRAND AND MODEL OF CAR,2,Vehicle and Car Descriptions and Attributes
1O42RAM,END WATCH,3,Diverse Personal Expressions
D RAT,DIRTY RAT. IT'S THE CAR'S NAME.,2,Vehicle and Car Descriptions and Attributes
D TRANS,MY TRUCKING COMPANY NAME,2,Vehicle and Car Descriptions and Attributes
HIHAT14,"HIHAT IS A DRUM STAND THAT HOLDS A 14"" CYMBAL",3,Diverse Personal Expressions
HEL BND,HELLBOUND,3,Diverse Personal Expressions
AHHUAHH,BECAUSE ITS FUNNY,3,Diverse Personal Expressions
MEA515O,I'M THE 50TH PERSON WITH SAME FIRST AND MIDDLE NAME IN SOUTHERN CALIFORNIA.,0,Personal and Family names
SB5O AFC,SUPERBOWL 50 AMERICAN FOOTBALL CONFERENCE,1,Business and University Identities
SSSLSSS,MAKE OF A VEHICLE,2,Vehicle and Car Descriptions and Attributes
TEEMBOX,MY FIRST NAME IS TEEM --AND MY CAR IS A SCION XB,2,Vehicle and Car Descriptions and Attributes
13O9O,HOMETOWN ZIP,1,Business and University Identities
515OFAN,CRAZY FAN,3,Diverse Personal Expressions
69 GROWL,1969 MERCURY COUGAR,2,Vehicle and Car Descriptions and Attributes
88XJS12,"THE YEAR IS 1988, MODEL NAME IS XJ-S, AND IT'S A V12 MOTOR",2,Vehicle and Car Descriptions and Attributes
DRMN BG,SETTING GOALS,3,Diverse Personal Expressions
76VILLN,1976 SEVILLE,3,Diverse Personal Expressions
SKIPS 88,NICKNAME SKIP YEAR OF VEHICLE,2,Vehicle and Car Descriptions and Attributes
FISH E,FISHY,3,Diverse Personal Expressions
APPLPIE,APPLE PIE,3,Diverse Personal Expressions
DOITRIT,DO IT RIGHT,3,Diverse Personal Expressions
DPRED,DEEP RED,7,Colors and Descriptive Traits
FJERM,I DRIVE A TOYATA FJ AND MY NICKNAME IS JERM,3,Diverse Personal Expressions
HELA VET,HELLA,3,Diverse Personal Expressions
I77IKEB,MIKE B,3,Diverse Personal Expressions
KITTY KAT,KITTY KAT,3,Diverse Personal Expressions
LVST4VR,LIVE WITH STYLE FOREVER,3,Diverse Personal Expressions
MU RED,RED,7,Colors and Descriptive Traits
MXBC21G,MY FAVORITE LETTERZ AND NUMBER,4,Area code and Numbers
SMKN CAD,NICE SMOKEY GRAY COLOR CADILLAC,2,Vehicle and Car Descriptions and Attributes
CMBIN14,CMB STRUCTURES INC.,1,Business and University Identities
ME BLUE,OUR CAR IS BLUE,7,Colors and Descriptive Traits
CHVY13,YEAR OF TRUCK,2,Vehicle and Car Descriptions and Attributes
CORNA69,CAR MODEL NAME IS CORONA AND YEAR OF  CAR IS A 69,2,Vehicle and Car Descriptions and Attributes
FALKOR8,"FALKOR IS THE WHITE ""LUCK DRAGON"" IN THE  NEVER ENDING STORY. THIS PLATE IS FOR A LARGE WHITE SUV. 8 IS JUST A LUCKY NUMBER",2,Vehicle and Car Descriptions and Attributes
GT4RCKT,PORSCHE GT4 ROCKET,2,Vehicle and Car Descriptions and Attributes
IGO515O,"I GO CRAZY, HOSTILE",3,Diverse Personal Expressions
IRUNCAT,OPERATE CAT EQUIPMENT,6,Pet and Animal Themes
LOIBOX2,MY NAME MY MINI,0,Personal and Family names
MISHUGA,A LITTLE CRAZY (IN YIDDISH),3,Diverse Personal Expressions
ORNG5OH,ORANGE 5.0,1,Business and University Identities
OZLIVI,KIDS NAMES,0,Personal and Family names
RDLION1,COMPANY NAME,1,Business and University Identities
RDROWVR,RED ROVER,2,Vehicle and Car Descriptions and Attributes
RMBULB,OUR TRUCK IS A RUMBLE BEE,3,Diverse Personal Expressions
URFANCY,THAT YOUR FANCY,3,Diverse Personal Expressions
YELOCAT,THE VEHICLE IS A PLYMOUTH PROWLER THE  COLOR IS YELLOW AND THE FACTORY SEATS HAS A CAT LOGO ON THEM.,2,Vehicle and Car Descriptions and Attributes
2SXY4RK,TOO SEXY FOR ROCK,3,Diverse Personal Expressions
4763,BIRTHDAYS,4,Area code and Numbers
515OKVN,515O SOME MAY FIND OFFENSIVE,1,Business and University Identities
67VDUBN,1967 VW WITH A REFERENCE TO GS WARRIORS,2,Vehicle and Car Descriptions and Attributes
7OBLITZ,"BLITZ, DRUG REFERENCE",3,Diverse Personal Expressions
73256,RANDOM NUMBER,1,Business and University Identities
M6967,"69, SEXUAL REFERENCE",4,Area code and Numbers
RDYETI,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
GMABKY,"BECKY, SEXUAL REFERENCE",3,Diverse Personal Expressions
BONIBLU,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
IXIX6TT,"TITTIE, SEXUAL REFERENCE",3,Diverse Personal Expressions
R666,KIDS BIRTHDAY,4,Area code and Numbers
STYNSXY,STAYING SEXY,3,Diverse Personal Expressions
AWD BOX,AWD = ALL WHEEL DRIVE AND BOX = BOXY CAR OR BOXER 4 ENGINE WHICH IS WHAT MY SUBARU ENGINE TYPE IS CALLED.,2,Vehicle and Car Descriptions and Attributes
ED NIGMA,ED ENIGMA,3,Diverse Personal Expressions
FOURT 15,40-15 TENNIS SCORE,1,Business and University Identities
FSH CRZY,FISH CRAZY,3,Diverse Personal Expressions
GIV2LPC,AM THE CHIEF DEVELOPMENT OFFICER FOR LIFE PACIFIC COLLEGE (LPC) RESPONSIBLE FOR GIFTS TO THE COLLEGE,1,Business and University Identities
HIGH TOP,I HAVE A RAISED TRUCK SO THE MEANING REPRESENTS ITS HEIGHT,2,Vehicle and Car Descriptions and Attributes
LANDRKT,LAND ROCKET,2,Vehicle and Car Descriptions and Attributes
OU1 CU1,OWE YOU  ONE SEE YOU ONE?,3,Diverse Personal Expressions
PB26OO1,"AREA CODE PUNJAB, INDIA",1,Business and University Identities
REDLEDR,STAR WARS REFERENCE,3,Diverse Personal Expressions
SNIPPZ,MY BUSINESS NAME,1,Business and University Identities
