index,plate,meaning,classification,string_classification
849,2017 GT,2017 FORD GT,7,"Sports, Teams, Regional"
850,BTFD 15,BEAR THE FUCK DOWN (PHRASE),4,"Profanity, Drugs, Gang References"
851,SCUMMYY,SCUMMY,8,"Sexual, Provocative"
852,AF FAMLY,AIR FORCE FAMILY OR AF = AS FUCK FAMILY,4,"Profanity, Drugs, Gang References"
853,TAIFTR,TIE FIGHTER FROM STAR WARS,7,"Sports, Teams, Regional"
854,BB HEAD,HEAD=SEXUAL,7,"Sports, Teams, Regional"
855,USAGA,USA GREAT AGAIN,7,"Sports, Teams, Regional"
856,AFEEM,ANOTHER NAME FOR OPIUM,1,"Humor, Personal, Playful"
857,BNHUNTN,BEEN HUNTING,8,"Sexual, Provocative"
858,69 BOTCH,69(SEXUAL) BOTCH=BITCH,4,"Profanity, Drugs, Gang References"
859,FAASS,FAT ASS,5,"Defiant, Rebellious, Aggressive"
860,CHN SMKG,CHAIN SMOKING,1,"Humor, Personal, Playful"
861,OSPRREY,OSPREY(BIRD),7,"Sports, Teams, Regional"
862,KILABMR,KILLA(KILLER/COOL) BEAMER,4,"Profanity, Drugs, Gang References"
863,LYFISHT,LIFE IS SHORT OR LIFE IS SHIT,5,"Defiant, Rebellious, Aggressive"
864,KCKROCS,KICK ROCKS PHRASE MEANING GET OUT OF HERE,4,"Profanity, Drugs, Gang References"
865,NUQ 1724,NUKE 1724,8,"Sexual, Provocative"
866,FKNBDAZ,FUCKING BADASS,5,"Defiant, Rebellious, Aggressive"
867,O61541L,NAME AND BIRTH,3,"Personal, Family, Sentimental"
868,SIG 9MM,9MM GUN,7,"Sports, Teams, Regional"
869,ACMPLCE,ACCOMPLICE,7,"Sports, Teams, Regional"
870,SALTYAF,SALTY AS FUCK,5,"Defiant, Rebellious, Aggressive"
871,IBNUTTY,I BE NUTTY,1,"Humor, Personal, Playful"
872,H77 GATO,SPANISH CAT,8,"Sexual, Provocative"
873,DIDIER C,NAME,1,"Humor, Personal, Playful"
874,BOM 1,BOMB,1,"Humor, Personal, Playful"
875,MYOUIJA,OUIJA(BOARD GAME),7,"Sports, Teams, Regional"
876,FXR4GVN,FUCKS ARE FORGIVEN,5,"Defiant, Rebellious, Aggressive"
877,PEENT,peanut m OR peen=penis,2,"Sexual, Offensive, Controversial"
878,MRDABZ,MISTER DABS(DRUG REFERENCE),4,"Profanity, Drugs, Gang References"
879,BULLYOU,BULLY YOU,8,"Sexual, Provocative"
880,BSDAN,BULLSHIT DAN,5,"Defiant, Rebellious, Aggressive"
881,NUT ONE,NUT ONE,1,"Humor, Personal, Playful"
882,GOP PWR,GOP(GRAND OLD PARTY) POWER,7,"Sports, Teams, Regional"
883,VIILION,VILLAIN,1,"Humor, Personal, Playful"
884,SNWBALL,SNOWBALL,1,"Humor, Personal, Playful"
885,Z3X,Z3X=SEX,4,"Profanity, Drugs, Gang References"
886,MOB SQD,MOB SQUAD,1,"Humor, Personal, Playful"
887,GON2 HLL,NO MEANING ON REG 17 GOING(GONE) TO HELL,4,"Profanity, Drugs, Gang References"
888,CHPNHAM,CHOPPING HAM,8,"Sexual, Provocative"
889,STKRKTY,STALKER KITTY,1,"Humor, Personal, Playful"
890,PHUCIT1,FUCK IT,5,"Defiant, Rebellious, Aggressive"
891,BLEKCAT,BLACK CAT,8,"Sexual, Provocative"
892,424 IZ,CA AREA CODE,4,"Profanity, Drugs, Gang References"
893,SPAZZY,SPAZZY(SPASTIC),4,"Profanity, Drugs, Gang References"
894,LTL BAST,LITTLE BASTARD,5,"Defiant, Rebellious, Aggressive"
895,SOUL RED,SOULD RED,1,"Humor, Personal, Playful"
896,RC F YAH,[CAR NAME] FUCK YEA,4,"Profanity, Drugs, Gang References"
897,GUN FTR,GUN FIGHTER,7,"Sports, Teams, Regional"
898,NEGRA,NEGRA=BLACK IN SPANISH,2,"Sexual, Offensive, Controversial"
899,LMALOSO,MALOSO=SPANISH INSULT,2,"Sexual, Offensive, Controversial"
900,LYNPIPA,LAYING PIPE=SEX,4,"Profanity, Drugs, Gang References"
901,INFIDIL,INFIDEL=RELIGIOUS NON-BELIEVER,2,"Sexual, Offensive, Controversial"
902,CHMPR$B,CHOMPER b=bitch?,2,"Sexual, Offensive, Controversial"
903,BNTOVER,BENT OVER (SEXUAL?),0,"Weapons, Cars, Masculine Themes"
904,PIMP327,PIMP,7,"Sports, Teams, Regional"
905,PHO KEW,FUCK YOU,5,"Defiant, Rebellious, Aggressive"
906,HIBDAZZ,HI BEDAZZLED OR HI BAD ASS,8,"Sexual, Provocative"
907,HULNASP,HAULING ASS,1,"Humor, Personal, Playful"
908,RDY2PLA,READY TO PLAY,1,"Humor, Personal, Playful"
909,IEATASS,I EAT ASS,1,"Humor, Personal, Playful"
910,CAMLTQW,CAMEL TOE(SEXUAL),4,"Profanity, Drugs, Gang References"
911,EASY,EASY,1,"Humor, Personal, Playful"
912,WOODYLV,WOODY(SEXUAL) LOVE,8,"Sexual, Provocative"
913,EXTRMHT,EXTREME HATE OR EXTERMINATE,7,"Sports, Teams, Regional"
914,H82BCGD,HATE TO BE CAGED,8,"Sexual, Provocative"
915,TNT REX,TNT TREX,7,"Sports, Teams, Regional"
916,CHP NOO,NO CHIP(AS IN PAINT),4,"Profanity, Drugs, Gang References"
917,SMK HERB,SMOKE HERB=WEED,2,"Sexual, Offensive, Controversial"
918,SXXYHOE,SEXY HOE,8,"Sexual, Provocative"
919,OH FACK,OH FUCK,5,"Defiant, Rebellious, Aggressive"
920,69LUV N,69 LOVIN,1,"Humor, Personal, Playful"
921,5 OH FOX,5-OH POLICE FOX(NEWS?),4,"Profanity, Drugs, Gang References"
922,SXXTY 9,69(SEXUAL),4,"Profanity, Drugs, Gang References"
923,G19M69C,1969 GMC(CAR),7,"Sports, Teams, Regional"
924,FWLKILN,FOWL KILLIN,1,"Humor, Personal, Playful"
925,RBSVAGE,RED BLACK SAVAGE,1,"Humor, Personal, Playful"
926,OVTHUGS,ORANGEVALE THUGS,1,"Humor, Personal, Playful"
927,FN THING,FUCKING THING,5,"Defiant, Rebellious, Aggressive"
928,TACO TK,TACO TRUCK,7,"Sports, Teams, Regional"
929,KAKEPOP,CAKE POP,8,"Sexual, Provocative"
930,N2DEEP,IN TOO DEEP,8,"Sexual, Provocative"
931,1BTCN VT,ONE BITCHIN CORVETTE,8,"Sexual, Provocative"
932,BDKM VIB,BITCH DON’T KILL MY VIBE,1,"Humor, Personal, Playful"
933,BLZN 51,BLAZING 1951(CAR YEAR),4,"Profanity, Drugs, Gang References"
934,DKS 68,DICKS 68(REFERENCE TO 69?),4,"Profanity, Drugs, Gang References"
935,REDSO5,NICKNAME(RED) AND YEAR OF BIKE,3,"Personal, Family, Sentimental"
936,BYRNER,BURNER,8,"Sexual, Provocative"
937,FCK 3,FUCK,5,"Defiant, Rebellious, Aggressive"
938,2 BLASÃ‰,TOO BLASA,1,"Humor, Personal, Playful"
939,GPOPS73,GRANDPAS 73(YEAR),3,"Personal, Family, Sentimental"
940,IEDS X5,5 IEDS = IMPROVISED EXPLOSIVE DEVICE,4,"Profanity, Drugs, Gang References"
941,LAGUNA C,LAGUNA CALIFORNIA OR LAGUNA CRIP,7,"Sports, Teams, Regional"
942,RAIDR13,RAIDER(SPORTS TEAM) 13,7,"Sports, Teams, Regional"
943,ABG 1V,ABG MEANS AZNBBYGIRL OR ASIAN FEMALE GANGSTER,2,"Sexual, Offensive, Controversial"
944,BISH417,LAST NAME & LUCKY NUMBERS,3,"Personal, Family, Sentimental"
945,42OEDDI,420=DRUG REFERENCE EDDI,4,"Profanity, Drugs, Gang References"
946,BLUNSTY,BLUE NASTY BLUNTS-WEED,8,"Sexual, Provocative"
947,BCHCTY8,BEACH CITY 8 BITCH CITY?,4,"Profanity, Drugs, Gang References"
948,ZROFXS,NO FUCKS,8,"Sexual, Provocative"
949,CARPETS,CARPETS,7,"Sports, Teams, Regional"
950,4LY554G,NAME REPLACED WITH NUMBERS,3,"Personal, Family, Sentimental"
951,ELITE 88,TOP OF THE LINE AND YEAR OF BIRTH 88 HITLER REFERENCE,3,"Personal, Family, Sentimental"
952,SKA69,SKA=DRUGS 69(SEXUAL REFERENCE),2,"Sexual, Offensive, Controversial"
953,BOOTZ13,BOOTS(NICKNAME),4,"Profanity, Drugs, Gang References"
954,KWEEN BE,QUEEN BEE,1,"Humor, Personal, Playful"
955,SIEGEUP,SIEGE UP(QUOTE),4,"Profanity, Drugs, Gang References"
956,69 ARMY,69 ARMY,7,"Sports, Teams, Regional"
957,I$NIPPY,I LOVE NIPPY,5,"Defiant, Rebellious, Aggressive"
958,SIKSCAT,SICK SCATPACK(CAR),7,"Sports, Teams, Regional"
959,BDAFMZ3,BAD AS FUCK MAZDA,5,"Defiant, Rebellious, Aggressive"
960,EFFFIT,FUCK IT,5,"Defiant, Rebellious, Aggressive"
961,ILWU42O,I LOVE WHEN YOURE 420=HIGH,4,"Profanity, Drugs, Gang References"
962,BNDYBLZ,BUNDY BALLS,1,"Humor, Personal, Playful"
963,4 WHOOPI,FOR WHOOPI=SEX,4,"Profanity, Drugs, Gang References"
964,CDAWG 12,CDAWG=NICKNAME CDAWG = CRIP AFFILIATION,4,"Profanity, Drugs, Gang References"
965,RAMM N U,RAMING YOU(SEXUAL?),4,"Profanity, Drugs, Gang References"
966,BRN2BSS,BORN TO BOSS OR BORN TO BULLSHIT,1,"Humor, Personal, Playful"
967,SKNDLUS,SCANDALOUS,8,"Sexual, Provocative"
968,FDALLAS,FUCK DALLAS,5,"Defiant, Rebellious, Aggressive"
969,HTSHTZ1,HOT SHOTS OR HOT SHIT,8,"Sexual, Provocative"
970,GANJ GUY,GANJA=WEED GUY,2,"Sexual, Offensive, Controversial"
971,PJSTACO,PJ'S TACO,7,"Sports, Teams, Regional"
972,4 PLAAY,FOREPLAY,1,"Humor, Personal, Playful"
973,HUNTM DN,HUNTNING THEM DOWN,1,"Humor, Personal, Playful"
974,WEST AF,WEST AS FUCK,5,"Defiant, Rebellious, Aggressive"
975,UR SALTY,YOU ARE SALTY,1,"Humor, Personal, Playful"
976,BLCKOWT,BLACK OUT,8,"Sexual, Provocative"
977,C HUSSLE,CHARLIE HUSTLE(ATHLETE),7,"Sports, Teams, Regional"
978,AKLUV,AK=GUN OR AK=ALASKA LOVE,2,"Sexual, Offensive, Controversial"
979,IDGF IGA,I DON’T GIVE A FUCK I GO ANYWHERE,5,"Defiant, Rebellious, Aggressive"
980,DUNG HO,DUNG HOE,8,"Sexual, Provocative"
981,GR8X4US,GREAT X=TIMES/SEX/EXTASY FOR US,4,"Profanity, Drugs, Gang References"
982,SMLYTT,SMILEY TIANTIAN(NAME),4,"Profanity, Drugs, Gang References"
983,RNMF2,RUN MOTHERFUCKER,5,"Defiant, Rebellious, Aggressive"
984,ASMAN1,LOOKS LIKE ASS MAN 1,1,"Humor, Personal, Playful"
985,MFU,MOTORCYCLES FOR UNITY OR MAD FUCKED UP OR MIDDLE FINGER UP,8,"Sexual, Provocative"
986,SHZNATS,SHIZNITS(PHRASE),2,"Sexual, Offensive, Controversial"
987,1ULV2H8,ONE YOU LOVE TO HATE,8,"Sexual, Provocative"
988,SF SNIPR,SPECIAL FORCES SNIPER OR SAN FRANCISCO SNIPER,0,"Weapons, Cars, Masculine Themes"
989,NUKEZ,NUKES=WEAPON,4,"Profanity, Drugs, Gang References"
990,BITSHYD,BITCH SHIT,5,"Defiant, Rebellious, Aggressive"
991,WTF RHD,WHAT THE FUCK RHD(RIGHT HAND DRIVE?),4,"Profanity, Drugs, Gang References"
992,415CITY,[AREA CODE]  CITY,4,"Profanity, Drugs, Gang References"
993,MZENBLU,MAIZE AND BLUE,7,"Sports, Teams, Regional"
994,LNCHBX1,LUNCH BOX,1,"Humor, Personal, Playful"
995,RED GUTS,RED GUTS(INTERIOR),4,"Profanity, Drugs, Gang References"
996,MRQ9999,MR QUOC 9999,4,"Profanity, Drugs, Gang References"
997,ASS HOL,ASSHOLE,5,"Defiant, Rebellious, Aggressive"
998,LOWSTDS,LOW STANDARDS,1,"Humor, Personal, Playful"
999,CEIDYAF,CEIDY=SEEDY AF = AS FUCK,4,"Profanity, Drugs, Gang References"
1000,7TFREAK,1970(CAR YEAR) THE FREAK,4,"Profanity, Drugs, Gang References"
1001,5OTOSLW,FIVE-OH=POLICE TOO SLOW,4,"Profanity, Drugs, Gang References"
1002,LA NEGRI,NERGRI=BLACK PLURAL IN SPANISH,2,"Sexual, Offensive, Controversial"
1003,XID MARY,CROSS EYED MARY,1,"Humor, Personal, Playful"
1004,FTZYMBZ,FUTZY MERCES BENZ,7,"Sports, Teams, Regional"
1005,F ONE,FORMULA ONE RACING OR FUCK ONE,7,"Sports, Teams, Regional"
1006,NUKEMOM,NUCLEAR MOM,1,"Humor, Personal, Playful"
1007,CLAUDKL,GAMING NAME,4,"Profanity, Drugs, Gang References"
1008,RZR BOXX,RAZOR BOX,7,"Sports, Teams, Regional"
1009,2DOMNAT,TO DOMINATE,8,"Sexual, Provocative"
1010,FUYOU,"FUCK YOU, customer name is Fuyou Gu",6,"Humorous, Quirky, Personal"
1011,FUCHI 3,FUCHI=BAD SMELLING,2,"Sexual, Offensive, Controversial"
1012,LILDICK,LITTLE DICK,8,"Sexual, Provocative"
1013,HELLTRN,HELL TRAIN,8,"Sexual, Provocative"
1014,PORMEXN,POOR MEXICAN\,1,"Humor, Personal, Playful"
1015,HILLTTR,HILL(NAME) TRUCK AND TRAILER,7,"Sports, Teams, Regional"
1016,HELION 1,HELION=FROM HELL,2,"Sexual, Offensive, Controversial"
1017,PURE LVN,PURE LIVING OR PURE LOVIN,8,"Sexual, Provocative"
1018,OH MY 69,OH MY 69(SEXUAL),4,"Profanity, Drugs, Gang References"
1019,XOXXXOX,HUG AND KISSES SYMBOLS XXX SEXUAL REFERENCE,2,"Sexual, Offensive, Controversial"
1020,88HHH88,88-HITLER,0,"Weapons, Cars, Masculine Themes"
1021,CUH82BU,SEE YOU HATE TO BE YOU,8,"Sexual, Provocative"
1022,ITS MY G,IT IS MY G(CAR MODEL),4,"Profanity, Drugs, Gang References"
1023,MRBGSTF,MR BIG STUFF(SONG OR SEXUAL REFERENCE),4,"Profanity, Drugs, Gang References"
1024,619,WEDDING ANNIVERSARY. JUNE 19TH,3,"Personal, Family, Sentimental"
1025,DROPN U,DROPPING YOU=LEAVING YOU BEHIND OR KNOCK SOMEONE OUT.,6,"Humorous, Quirky, Personal"
1026,HOTTBCH,HOT BITCH,5,"Defiant, Rebellious, Aggressive"
1027,PAZZO 13,ITALIAN FOR DERANGED/CRAZY 13 = GANG NUMBER?,2,"Sexual, Offensive, Controversial"
1028,HYRDKLR,HIRED KILLER,7,"Sports, Teams, Regional"
1029,1SIKFKR,ONE SICK FUCKER,8,"Sexual, Provocative"
1030,FOGYOU,fuck you,5,"Defiant, Rebellious, Aggressive"
1031,STFUPLZ,SHUT THE FUCK UP PLEASE,5,"Defiant, Rebellious, Aggressive"
1032,BULYPWS,I HAVE BULLDOGS. IT MEANS BULLDOG PAWS,6,"Humorous, Quirky, Personal"
1033,RX PHO,RX=MEDICINE PHO=SOUP,2,"Sexual, Offensive, Controversial"
1034,THEBUNZ,THE BUNS=BUTT,2,"Sexual, Offensive, Controversial"
1035,DRAG CAT,DRAG(AS IN DRIFT) HELLCAT(CAR),4,"Profanity, Drugs, Gang References"
1036,MADMAC,MAD MAC(MOVIE),4,"Profanity, Drugs, Gang References"
1037,KYLERHO,NAME AND LAST NAME,3,"Personal, Family, Sentimental"
1038,69MOBBN,69 MOBBING,1,"Humor, Personal, Playful"
1039,8ZERO5,AREA CODE,4,"Profanity, Drugs, Gang References"
1040,TURBO HO,TURBO HOE,7,"Sports, Teams, Regional"
1041,MOB LYFE,MOB LIFE,7,"Sports, Teams, Regional"
1042,WIKDCAT,WICKED CAT,1,"Humor, Personal, Playful"
1043,1SLKHOE,ONE SLICK(?) HOE,8,"Sexual, Provocative"
1044,ALLEKT,ALLEY CAT(NICKNAME),4,"Profanity, Drugs, Gang References"
1045,SUPFCKR,WHATS UP FUCKER,4,"Profanity, Drugs, Gang References"
1046,MVEVRNP,MOVE OVER AND PEE,8,"Sexual, Provocative"
1047,SCPO,SENIOR CHIEF PETTY OFFICER,7,"Sports, Teams, Regional"
1048,HOG BOSS,HOG=MOTORCYCLE BOSS,2,"Sexual, Offensive, Controversial"
1049,LO NUTS,LIVE OAKE NUTS(MASCOT),7,"Sports, Teams, Regional"
1050,GO UGLY,GO UGLY(PHRASE),4,"Profanity, Drugs, Gang References"
1051,OGSURFR,OLD GUY SURFER OR ORIGINAL GANGSTER SURFER,0,"Weapons, Cars, Masculine Themes"
1052,FJ55 PIG,FJ55=CAR MODEL. NICKNAMED THE IRON PIG.,0,"Weapons, Cars, Masculine Themes"
1053,RANDG,ROBERT AND GRISELDA,7,"Sports, Teams, Regional"
1054,AMPD BLU,AMPED BLUE (CAR COLOR),4,"Profanity, Drugs, Gang References"
1055,9EFSGVN,NO(NEIEN) FUCKS GIVEN,4,"Profanity, Drugs, Gang References"
1056,BDCMJB,BAD CUM JOB,1,"Humor, Personal, Playful"
1057,CREDO13,LATIN FOR I BELIEVE 13-GANG?,2,"Sexual, Offensive, Controversial"
1058,BLACKD2,BLACK D2(CAR MODEL) OR BLACK D AS IN DICK TOO,2,"Sexual, Offensive, Controversial"
1059,PAPO2O9,PAPA [AREA CODE],4,"Profanity, Drugs, Gang References"
1060,SXE CBRA,SEXY COBRA,1,"Humor, Personal, Playful"
1061,BADASRV,BAD ASS RV,1,"Humor, Personal, Playful"
1062,GOCMNDO,GO COMANDO=UNDERWEAR LESS,2,"Sexual, Offensive, Controversial"
1063,BIMBOS2,BIMBO,8,"Sexual, Provocative"
1064,4LILBLU,FOR LITTLE BLUE,1,"Humor, Personal, Playful"
1065,KO 42O,KNOCK OUT 420=MARIJUANA,4,"Profanity, Drugs, Gang References"
1066,GTSGTFO,GTS=GO TO SLEEP(?) GTFO=GET THE FUCK  OUT,2,"Sexual, Offensive, Controversial"
1067,NVTANK,NV(CAR MODEL) TANK(NICKNAME),0,"Weapons, Cars, Masculine Themes"
1068,IHORSI,HORSIES(AFFECTIONATE PLURAL OF HORSES),2,"Sexual, Offensive, Controversial"
1069,LVE TOY,A LOVIE TOYOTA LOVE TOY,7,"Sports, Teams, Regional"
1070,ULOVGAS,YOU LOVE GAS,1,"Humor, Personal, Playful"
1071,HPARMRY,HIS PLACE ARMORY,1,"Humor, Personal, Playful"
1072,SPARK ME,SPARK ME SPARK=DRUGS?,4,"Profanity, Drugs, Gang References"
1073,FVCKYOV,FUCK YOU,5,"Defiant, Rebellious, Aggressive"
1074,AHHBLUE,AHH BLUE(NICKNAME),4,"Profanity, Drugs, Gang References"
1075,MCHE BMB,MICHELLE IS THE BOMB,1,"Humor, Personal, Playful"
1076,7HORCRX,7 HORCRUX(MOVIE REFERENCE),4,"Profanity, Drugs, Gang References"
1077,DONG ANH,DONG=PENIS ANH(?),2,"Sexual, Offensive, Controversial"
1078,STYMOBN,STAY RIDDING MOBBIN,1,"Humor, Personal, Playful"
1079,REDRRMM,RED RUM=MURDER,1,"Humor, Personal, Playful"
1080,SIGG9MM,SIGG=SICK(?) 9MM=GUN,2,"Sexual, Offensive, Controversial"
1081,BBADASP,BAD ASS,5,"Defiant, Rebellious, Aggressive"
1082,2MUCHFN,TOO MUCH FUN OR FUCKING,8,"Sexual, Provocative"
1083,SPARK 24,SPARK=SMOKE(MARIJUANA) 24(HOURS)=ALL DAY,2,"Sexual, Offensive, Controversial"
1084,UNION OG,UNION ORIGINAL GANGSTER,7,"Sports, Teams, Regional"
1085,S A Z Z,SASS OR ASS,8,"Sexual, Provocative"
1086,FSH BCH,FISH BEACH OR FISH BITCH,8,"Sexual, Provocative"
1087,PUBIKER,stinking biker PUBIC AND BIKER,0,"Weapons, Cars, Masculine Themes"
1088,IKWEENB,ONE QUEEN BEE,8,"Sexual, Provocative"
1089,NKD BRWR,NAKED BREWER(PHRASE),4,"Profanity, Drugs, Gang References"
1090,AR15MAN,AR15=GUN MAN,2,"Sexual, Offensive, Controversial"
1091,JHCFX4U,JESUS H CHRIST FUCK YOU,5,"Defiant, Rebellious, Aggressive"
1092,EAT MOB,EAT MOB,8,"Sexual, Provocative"
1093,B MFB,B=BAD MFB-MOTHER FUCKING BEAST(BITCH?),4,"Profanity, Drugs, Gang References"
1094,E M 323,[INITIALS] [AREA CODE],4,"Profanity, Drugs, Gang References"
1095,GMONEY3,G=GANGSTER MONEY,2,"Sexual, Offensive, Controversial"
1096,KATCLSM,CATACLYSM,7,"Sports, Teams, Regional"
1097,ESE RIX,ESSE=THAT'S RICKS,2,"Sexual, Offensive, Controversial"
1098,H8,HATE,1,"Humor, Personal, Playful"
1099,UPNSMK4,UP IN SMOKE (DRIVING),4,"Profanity, Drugs, Gang References"
1100,RUCKING,FUCKING,5,"Defiant, Rebellious, Aggressive"
1101,CR8VCAT,CREATIVE PERSON LOVES CATS,8,"Sexual, Provocative"
1102,BLUSHU,BLUE SHOE (CAR NICKNAME),4,"Profanity, Drugs, Gang References"
1103,2HUMMR2,MAKE AND MODEL OF CAR,0,"Weapons, Cars, Masculine Themes"
1104,WT TRASH,WHITE TRASH,1,"Humor, Personal, Playful"
1105,NPY CHK,NAPPY CHICK,8,"Sexual, Provocative"
1106,7DKHIM,dick him,8,"Sexual, Provocative"
1107,BDAZSRT,BADASS RT(?),4,"Profanity, Drugs, Gang References"
1108,P72O71O,"FIRST INITIAL OF LAST NAME AND BIRTH YEARS OF ME, WIFE AND KIDS",3,"Personal, Family, Sentimental"
1109,KAKEGRL,CAKE GIRL cake=ass?,2,"Sexual, Offensive, Controversial"
1110,ACOWTNT,ACCOUNTANT,7,"Sports, Teams, Regional"
1111,BLACK AS,BLACK AS=AS SHIT OR ASS ,2,"Sexual, Offensive, Controversial"
1112,WESSON 1,SMITH AND WESSON=GUN,2,"Sexual, Offensive, Controversial"
1113,GUANO37,GUANO=BIRD POOP,2,"Sexual, Offensive, Controversial"
1114,69 GOAT,69=SEX ACT G.O.A.T.=GREATEST OF ALL TIME,2,"Sexual, Offensive, Controversial"
1115,BDASAMG,BADASS MG(?),4,"Profanity, Drugs, Gang References"
1116,CALSTA,CALIFORNIA STATE,7,"Sports, Teams, Regional"
1117,TRIGGGR,TRIGGER,1,"Humor, Personal, Playful"
1118,H82 7OUT,HATE TO 7 OUT,1,"Humor, Personal, Playful"
1119,REDSPRT,RED SPORT (CAR COLOR AND MODEL),0,"Weapons, Cars, Masculine Themes"
1120,HELL RAM,HELLCAT RAM,7,"Sports, Teams, Regional"
1121,PUMPZ,PUMPS,1,"Humor, Personal, Playful"
1122,PATSH8R,"PATS(PATRIOTS, SPORTS TEAM) HATER",4,"Profanity, Drugs, Gang References"
1123,BEMYBAE,BE MY BAE(PARTNER),4,"Profanity, Drugs, Gang References"
1124,1DSLDVA,1 DEISEL DIVA,1,"Humor, Personal, Playful"
1125,IHATPPL,I HAT (OR HATE) PEOPLE,4,"Profanity, Drugs, Gang References"
1126,BALA,BALLER,8,"Sexual, Provocative"
1127,17CUCA,CUCA = COCKROACH IN SPANISH,2,"Sexual, Offensive, Controversial"
1128,LAKR213,LOS ANGELES LAKERS [AREA CODE],7,"Sports, Teams, Regional"
1129,LRA2788,LUCKY NUMBERS,1,"Humor, Personal, Playful"
1130,WTF Z33,MY CAR IS Z33 AND THIS IS MY DREAM CAR. MY MOTHER BOUGHT ME THIS DREAM CAR. WTF HIS HER CHINA NAME WONG TIN FANG,6,"Humorous, Quirky, Personal"
1131,SOMOIST,I AM A PROFESSIONAL CAKE DECORATOR  AND THE CAKE IS DELICIOUS AND MOIST,6,"Humorous, Quirky, Personal"
1132,FUKI5I5,I AM AGAINST TERRORISM. FUCK ISIS,4,"Profanity, Drugs, Gang References"
1133,GOOOOON,PLATES ARE GOING ON A 71 DATSUN WAGON. IN THE CAR SCENE THE DATSUN WAGONS ARE REFFERED TO AS GOONS,0,"Weapons, Cars, Masculine Themes"
1134,PSYCHPS,AM A PSYCHOLOGIST IN PALM SPRINGS,4,"Profanity, Drugs, Gang References"
1135,LES 14,LESTER 2014,1,"Humor, Personal, Playful"
1136,O1TIME,YOU ONLY HAVE TO LOOK AT IT ONE TIME!,4,"Profanity, Drugs, Gang References"
1137,PORKYYY,nickname,1,"Humor, Personal, Playful"
1138,BONG 14,DEPECHE MODE WHICH IS MUSIC BAND NAME,4,"Profanity, Drugs, Gang References"
1139,H8 RICE,I HAVE A GLUTEN ALLERGY AND I DONT LIKE RICE,6,"Humorous, Quirky, Personal"
1140,VACA 13,OUR FAMILYS LAST NAME AND THE DAY I WAS BORN.,3,"Personal, Family, Sentimental"
1141,DAMMITT,DAMN IT,5,"Defiant, Rebellious, Aggressive"
1142,BSTD G8,BASTARD… BEASTED…,1,"Humor, Personal, Playful"
1143,PACKER G,GREEN BAY PACKER FAN AND THE G STANDS FOR GARCOUSHA OUR LAST NAME,4,"Profanity, Drugs, Gang References"
1144,BTF OFF,BACK THE FUCK OFF,5,"Defiant, Rebellious, Aggressive"
1145,GOOCH,LAST NAME AND PRIVATE AREA,3,"Personal, Family, Sentimental"
1146,GANGFWD,GANG? WHAT THEY SAY IS TRUE,4,"Profanity, Drugs, Gang References"
1147,S$M 18,LUCKY LOVE NUMBER,1,"Humor, Personal, Playful"
1148,MMA DUBZ,"customer is Katrina Coles, not Washington. Dubs can have a drug connotation",6,"Humorous, Quirky, Personal"
1149,13BLKRT,2013 BLACK CHALLENGER RT,4,"Profanity, Drugs, Gang References"
1150,BJS HEMI,BJS BLOW JOB CUSTOMER INITIALS NOT BJ,4,"Profanity, Drugs, Gang References"
1151,XTRRMN8,"EXTERMINATE - FROM DOCTOR WHO EXTERMINATE, COULD BE TAKEN AS HOSTILE",2,"Sexual, Offensive, Controversial"
1152,ITSHUGE,"THE PLATE IS FOR A NISSAN ARMADA AND ITS  VERY LARGE. REFERENCE TO A PENIS, SEXUAL REFERENCE",6,"Humorous, Quirky, Personal"
1153,SNO BOMR,SNOW BOMBER,1,"Humor, Personal, Playful"
1154,O11235B,Fibonacci sequence which is a mathematic term,4,"Profanity, Drugs, Gang References"
1155,1DRLUST,WONDER LUST,8,"Sexual, Provocative"
1156,8O H O8,80=MY UNCLE 08 MY GRANDSON H IS FOR NAME,4,"Profanity, Drugs, Gang References"
1157,14 CBYC,CABRILLO BEACH YACHT CLUB COMMODORE 2014,4,"Profanity, Drugs, Gang References"
1158,BRAD13,THIS IS MY NICK NAME AS MY FIRST NAME IS  BRIDGETTE AND MY LAST NAME IS RADABAUGH. I PICKED 13 BECAUSE IT IS MY BIRTHDAY AND MY FAVORITE NUMBER,6,"Humorous, Quirky, Personal"
1159,ZMBONEE,A ZAMBONIE IS A MACHINE USED TO GET ICE READY TO PLAY HOCKEY,4,"Profanity, Drugs, Gang References"
1160,IH8TRFC,"I hate traffic,no quickweb",6,"Humorous, Quirky, Personal"
1161,K18QV11,CHILDRENS NAME AND BIRTHDAY,3,"Personal, Family, Sentimental"
1162,SUC1A 1,Bad words suck you all,5,"Defiant, Rebellious, Aggressive"
1163,M17LOVE,MITCHELLE FAVORITE NUMBER LOVE,4,"Profanity, Drugs, Gang References"
1164,PURE FN,MY COMPANY NAME IS PURE FINANCIAL,4,"Profanity, Drugs, Gang References"
1165,SLYNPOW,SLAYIN POWDER SNOWBAORDING TERM FOR RIDING POWDER,2,"Sexual, Offensive, Controversial"
1166,NACLBLS,I AM A CALIFORNIA STATE PARAMEDIC AND THE N A C L IS THE CHEMICAL NAME FOR SODIUM CHLORIDE (IV SOLUTION) AND THE B L S IS BASIC LIFE SUPPORT,6,"Humorous, Quirky, Personal"
