plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,most_common_class
L BLU,BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
NAVY14,14=HATE SYMBOL. BUT DOES HAVE 2014 CHEVY,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
NEKOBS,"NEKO=CAT IN JAPANESE, BS?",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
RED 1B,RED=GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
INFN8Y,IN FUCKIN' 80?,Area code and Numbers,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
KOOK2,HER NICKNAME IN CHINESE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
VHAPPY,VERY HAPPY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DTH TPR,STAR WARS - ROGUE ONE IMPERIAL ARMY CHARACTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FCCRUZ5,OUR NAME,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
FTN PENZ,FTN=FUCK THE NAVY,Business and University Identities,Area code and Numbers,Area code and Numbers,Personal and Family names,Area code and Numbers
GRG MHELL,GARAGE MA HALL,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Area code and Numbers,
HELLS1,GRANDMOTHERS NAME AND ENGINE CODE FOR THE VEHICLE,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes,Personal and Family names,
KAT4MNA,MY INITIALS (KAT) 4 MY DAUGHTERS MADISON AND AVA,Diverse Personal Expressions,Personal and Family names,Pet and Animal Themes,Personal and Family names,Personal and Family names
M7EM,FAMILY INITIAL,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
PSYCLWN,"MY CAR IS A 1964 MERCURY CYCLONE, AND THIS IS THE CLOSEST I COULD GET TO CYCLONE",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RAYCAT,no meaning written in on Reg 17,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers
VACA777,LAST NAME AND NUMBERS,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
ZOEEE 13,ZOE WAS MY FAVORITE AUNTS NAME,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
1966 FMC,"1966, F FOR FORD, M FOR MUSTANG",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
33TJGAU,3 OF MY DIFFERENT NAMES,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4PUDDIN,TV CHARACTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CATNI,MY WIFE AND I,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
DOMN8RS,"DOMINATORS, SEXUAL CONNOTATIONS?",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EREL21F,FITNESS CENTURY 21 LAW ENFORCMENT REAL ESTATE,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Area code and Numbers,
NIJA NAT,"NINJA NATALIE, RELEVANT TO MY PROFESSION AND MY NAME ABBREVIATED",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REDDRNR,IM A REDHEAD AND A RUNNER,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REDRUNZ,IM A REDHEADED RUNNER,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1QWKKAT,"ONE QUICK KAT (MY NAME IS KATHLEEN, BUT I GO BY KAT, KATKATHEY, KATHEY",Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AZIZ K,"MY NAME AND FIRST MIDDLE NAME , AND THERE IS A SPACE BETWEEN THEM.",Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
NAP554B,"NAPOLEON, 5 STRATEGIC RATING, 5 TACTICAL, 4 TACTICAL MAX, B LEADER EMPIRES IN ARMS GAME",Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DGARAY,THE D COULD STAND FOR DICK,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
SLUGPUG,MY DOG,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BOSS SM,AM THE BOSS OF MY COMPANY AND MY INITIALS ARE SM.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
B WIDOW 1,MY BROTHER NAMED MY CAR BLACK WIDOW SINCE ITS A BLACK CHALLENGER AND SINCE THEN ITS BEEN KNOWN AS THAT.,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,
D GATO,DAMONS CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
LIKAPRO,LIKE A PRO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RKCREPR,ROCK CREEPER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,
SIHANKY,SHORTHAND OF NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SMOKY DG,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SPRBEEZ,CAR MODEL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
STK 5OHH,STOCK 5.0 MUSTANG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
SYCO LON,MODEL OF MY TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
THE BIRR,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TT 4 MNT,AUDI TT FOR MIKE AND TINA,Vehicle and Car Descriptions and Attributes,Personal and Family names,Personal and Family names,Pet and Animal Themes,Personal and Family names
TYS 5 OH,TY IS MY NICK NAME AND 5 0H IS BECAUSE I HAVE A 5.0 GT MUSTANG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
WILLYZ1,MAKE OF VEHICLE. ITS A WILLYS TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
W9 MEUP,WIND ME UP AND WATCH ME GO. A PHRASE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
XOTICKA,EXOTIC BECAUSE IM A MIX RACE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1CA35OB,"CALIFORNIA, 350 FOR THE LEXUS MODEL AND B FOR LAST NAME",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Personal and Family names,Area code and Numbers
WHRRRR,"WHRRRR"" IS THE SOUND THE TESLA MAKES AS IT SPEEDS UP.",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
OSHOEYO,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REF BAM,color make,Colors and Descriptive Traits,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
RED VLV,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,
4N8DSK8,4 nated skate,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EVCTFAT,"EVICT YOUR FAT. CHANGING MY PERSPECTIVE TO BE MORE POSITIVE. FOCUS, AQUIRE, TRANSFORM",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HKS SS,HECTOR'S SS,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
KRACKN1,MAKING LIFE HAPPEN (GET CRACKN),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
THESIX9,YEAR OF VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
4JJBOSS,FOR JISELLE JUAREZ MY DAUGHTER; HER NICKNAME IS BOSSY.,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names,
D BLUBEL,THE BLUEBELL FLOWER,Colors and Descriptive Traits,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
AG GT5OH,"AG IS THE CHEMICAL ELEMENT NAME FOR SILVER, WHICH IS MY CARS COLOR. GT IS THE SUBMODEL AND 5-0H IS THE ENGINE SIZE.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
CRISISS,MY WIFE IS CALLING THIS CAR MY MID LIFE CRISIS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
FUZZZZZ,MY NICK NAME IS FUZY,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1BEAN8O,NICKNAME AND BIRTH YEAR,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4HACKER,HACKER IS MY NICK NAME AND IT'S 4 ME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
DIDIER C,"MY SON""S NAME",Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
JEFEZO6,BOSSES ZO6,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
5OHYOTE,MEANS 5.0 COYOTE THE MOTOR OF MY MUSTANG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SMOKN O4,SMOKING HOT 2004 CAR,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
18 HOLZ,I'M AN AVID GOLFER; THERE ARE 18 HOLES TO PLAY IN A GOLF ROUND. THANKS!,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
24ME14U,TWO FOR ME ONE FOR YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4JOY G,GRANDDAUGHTER NAME,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,
LOWXLFE,LOW LIFE - MY CAR IS LOW TO THE GROUND THEREFORE I HAVE TO LIVE MY LIFE AROUND DRIVING A LOW CAR,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RENT CAT,THIS PLATE IS BEING ORDERED FOR THE MANAGER OF THE CATERPILLAR RENTAL STORE PLEASE PUT HALF SPACE BETWEEN RENT AND CAT,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
WSQ5O,WILLIAM SILKY Q50 CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
A3XLBOM,"I HAVE AN AUDI A3, THIS IS A TAKE ON MY LAST  NAME, AXELBAUM",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
BJCAMEX,BAJA CALIFORNIA MEXICO,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BOOTJCK,LIVE IN BOOTJACK CALIFORNIA,Business and University Identities,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
DRTYY3O,A PUN FOR ONES AGE (DIRTY THIRTY) BUT MY  VEHICLES MODEL IS A 330CI,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
DUBTEE,"""ABBREVIATION"" FOR MY INITIALS - W T",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
GSMALHI,THIS LICENSE PLATE IS REPRESENTING MY SONS FIRST MIDDLE AND LAST NAME HIS FIRST NAME IS GURWINDER MIDDLE IS SINGH AND LAST IS MALHI,Vehicle and Car Descriptions and Attributes,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
JMAANN,MY NICK NAME THAT MY DAD CALLS ME.,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
JOEBLUE,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JOKER2U,I LIKE TO JOKE AROUND WITH YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LEALDF,DF COULD STAND FOR DA FUCK,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Personal and Family names,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
LVMI3GS,LOVE MY 3 GIRLS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MRGATO,"GATO IS CAT IN SPANISH, SEXUAL REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
RBLSGUM,"A HUMOROUS STAR WARS REFERENCE - HAN SOLO IS CALLED ""REBEL SCUM"" IN RETURN OF THE JEDI -- (AND MY NAME STARTS WITH A G)",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
REDBRAT,"JUST THE RIGHT PLATE FOR A CUTE LITTLE RED CAR DRIVEN BY A CUTE REDHEAD ""BRAT"" :)",Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
THESKOG,MY LAST NAME IS LINDSKOG,Personal and Family names,Personal and Family names,Gang Color and Controversial Affiliations,Personal and Family names,Personal and Family names
URPWRFL,YOU ARE POWERFUL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1386,REPRESENTS HAPPY LIFE IN CHINESE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
3791,REFERENCE TO LORD OF THE RINGS NOVEL. PLEASE MAKE THE NUMBERS CENTERED.,Business and University Identities,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers,Area code and Numbers
5555O,YEAR AND MAKE OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
5846,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
BONIT1,MY GOD DAUGHTER,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HCVAPE,"VAPE, DRUG REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SEXYJ,FOR MY 1955 JAGUAR.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
WALNUTC,"NUT, SEXUAL REFERENCE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
2BEACHS,GOING TO THE BEACH,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ALLUC,ALL YOU SEE IS THE BACK OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUENGT,THE COLOR MY CAR REPRESENTS,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
BMCMBB,BOATSWAIN'S MATE MASTER CHIEF  BABY BOATS,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,
BUYUE,BU YUE,Diverse Personal Expressions,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
FLYERFN,PHILIDELPHIA FLYERS FAN.  THE HOCKEY TEAM. :),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
ICUCAR,EYE SEE YOU CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
JMAC5O,MY HUSBANDS NICK NAME AND HIS AGE,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
JMUSKY,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KCKROCK,KICK ROCKS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
MAC7MAN,MY NAME IS MAC. WANTED MACMAN OR MACAMAN BUT BOTH WERE TAKEN SO ILL USE A 7 IN THERE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MMAMAB,SHORT WAY OF SAY MAMA BORNSTEIN OUR LAST NAME,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
MOBTFL3,MO IS FOR MONIQUE AND BTFL MEANS BEAUTIFUL,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
MUTTMBL,MUTT MOBILE,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
M143O,INITIALS AND BIRTHDAY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
NBBLEU,IT'S THE NAME OF MY CITY AND MY DOG,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
ONYXCAT,CAR IS A BLACK COLOR JAGUAR XK8. ONYX CAT WOULD BE A REFERENCE TO A BLACK CAT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
PERLBBY,PERL COLOR,Colors and Descriptive Traits,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
PROVIX,THE MEANING IS THE NAME OF THE CAR. WHICH IS PROJECT VICTORIA.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SJMJBJ,ME AND MY KIDS INITIALS,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
SNODOGY,SNOW CAN BE ANOTHER WORD FOR COCAINE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TM66CAT,TOM'S 1966 CATALINA,Business and University Identities,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TTO7,TRIPLE THREAT WAS THE NAME OF MY COMPANY AND 2007 WAS THE YEAR IT FOUNDED,Business and University Identities,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Gang Color and Controversial Affiliations,
WYTHSE,"WHITE HOUSE; AS WE REFER TO OUR HOME. THIS IS FOR OUR RV, THE ""WHITE HOUSE"" ON WHEELS.",Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
14JK911,"MODEL YEAR, INITIALS, MODEL TYPE",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1969JET,OWN A 1969 FORD MUSTANG COBRA JET MACH 1,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
22728,AARAV MY SONS NAME DIALING OF PHONE,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Diverse Personal Expressions,
5OHBOSS,"5.0 BOSS MUSTANG, LIKE 1960S BOSS 302 MUSTANG, 5 LITER ENGINE 2015 MUSTANG.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
922O7,DATE OF ANIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PUCK1,SIMILAR TO FUCK,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
81796,ANNIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FORDFX,MODEL OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ELM1428,FAVORITE CHILDHOOD MOVIE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MADTANK,"TANK, WEAPON REFERENCE",Business and University Identities,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
MEOW17,LOVE MY CATS,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
YABURNT,YOU ARE A BURNT CHARACTER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
16REDV,"YEAR, COLOR, MODEL",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
IAPRUVU,I AM A LOAN OFFICER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AF8117O,AIR FORCE SPECIALTY CODE FOR SECURITY POLICE SUPERVISOR,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
AF 91,AIR FORCE 1991,Business and University Identities,Diverse Personal Expressions,Area code and Numbers,Vehicle and Car Descriptions and Attributes,
AMO ADAN,IT MEANS 'I LOVE ADAN' IN SPANISH.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BAC RDGY,BACK ROAD GUY. TAKE THE LONG WAY OR A DIRT ROAD,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
BASKT CS,MY LAST NAME IS CASE. BASKET CASE IS MY NICK NAME. MY EMAIL IS BSKTCSE@ME.COM,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
BLRDUP,OWNER IS A MARTIAL ARTS PRACTIONER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BUNKYO,"WARD OF TOKYO JAPAN, ONE OF MY FAVORITE CITIES WHILE VISITING",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DAMOE,COMPANY NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DARM 16,NAME AND LUCKY NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
